title,object_type,culture,period,material,findspot,object_name,museum_number,image_url,object_url,source,image_valid,image_local
figure / trident / 'khar-gsil,'khar-gsil,,1801-2000,,Found/Acquired: Tibet,figure / trident / 'khar-gsil,"1948,0716.30",https://media.britishmuseum.org/Repository/Documents/2025_12/28_15/b3d29fd6_54e1_4242_a71d_b3c10100f27c/large_1948_0716_30___2_.jpg,https://www.britishmuseum.org/collection/object/A_1948-0716-30,british_museum,False,
abacus,,,,,Found/Acquired: China,abacus,As.3593,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/188bde43_4da9_4c3e_869b_a3dd010974f1/large_01381495_001.jpg,https://www.britishmuseum.org/collection/object/A_As-3593,british_museum,False,
abacus,,,,,Found/Acquired: China,abacus,"As,SLMisc.594",https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/89558d3e_8ff0_4d9e_a70d_a3dd0109768d/large_01381496_001.jpg,https://www.britishmuseum.org/collection/object/A_As-SLMisc-594,british_museum,False,
abacus,,,1644-1911,,,abacus,OA+.6644,https://media.britishmuseum.org/Repository/Documents/2025_3/14_12/761b00a2_b4ef_4cbd_b985_b2a000ca5b34/large_RRC3401.jpg,https://www.britishmuseum.org/collection/object/A_OA-6644,british_museum,False,
abacus,,,,,Found/Acquired: China,abacus,"2019,4106.1",,https://www.britishmuseum.org/collection/object/C_2019-4106-1,british_museum,False,
steelyard-case / abacus,abacus,,,,Found/Acquired: China,steelyard-case / abacus,"As,SLMisc.552.b",https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/e13b41bb_80fe_4dc1_9be4_a3dd010a5537/large_01381985_001.jpg,https://www.britishmuseum.org/collection/object/A_As-SLMisc-552-b,british_museum,False,
abacus,,,1975,,Found/Acquired: Hong Kong,abacus,"2001,0618.1",,https://www.britishmuseum.org/collection/object/A_2001-0618-1,british_museum,False,
abacus,,,1522-1566,,Found/Acquired: China,abacus,"1909,0611.1",https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/92f5acb3_23fb_48f7_b417_a3ba0162a371/large_00264386_001.jpg,https://www.britishmuseum.org/collection/object/A_1909-0611-1,british_museum,False,
acroterion,,,1368-1644,,Found/Acquired: China,acroterion,"1907,1105.2",https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/5953bf26_fe35_4205_945a_b305009cd3b9/large_RRC5224.jpg,https://www.britishmuseum.org/collection/object/A_1907-1105-2,british_museum,False,
acroterion,,,1368-1644,,Found/Acquired: Chin Shan temple,acroterion,OA+.152,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/a6ff18fd_f3d8_4e45_aa6e_b305009cce15/large_RRC2762.jpg,https://www.britishmuseum.org/collection/object/A_OA-152,british_museum,False,
acroterion,,,1368-1644,,Found/Acquired: Yonghe,acroterion,"1938,0524.6",https://media.britishmuseum.org/Repository/Documents/2014_9/29_19/3daddab6_e6a3_4d4e_a6cd_a3b50142a7e6/large_00160090_001.jpg,https://www.britishmuseum.org/collection/object/A_1938-0524-6,british_museum,False,
acroterion,,,8thC-10thC,,Excavated/Findspot: Ming-oi,acroterion,MAS.1073,https://media.britishmuseum.org/Repository/Documents/2014_11/4_16/2acb8627_cd62_4eea_b263_a3d9010d5ef9/large_01172915_001.jpg,https://www.britishmuseum.org/collection/object/A_MAS-1073,british_museum,False,
acroterion,,,1350-1430,,Found/Acquired: China,acroterion,OA+.151,https://media.britishmuseum.org/Repository/Documents/2014_11/10_18/c20cdec5_950f_4f06_9734_a3df01318d73/large_01536246_001.jpg,https://www.britishmuseum.org/collection/object/A_OA-151,british_museum,False,
admission-ticket / souvenir,souvenir,,1982,,,admission-ticket / souvenir,"2014,4004.11",https://media.britishmuseum.org/Repository/Documents/2014_11/10_7/1517b7a1_3b5d_4abd_9541_a3df007fcc54/large_01494035_001.jpg,https://www.britishmuseum.org/collection/object/C_2014-4004-11,british_museum,False,
admission-ticket / souvenir,souvenir,,1982,,,admission-ticket / souvenir,"2014,4004.12",https://media.britishmuseum.org/Repository/Documents/2014_11/10_7/a999a0b9_7dc1_4efd_b1ce_a3df007fcd6d/large_01494036_001.jpg,https://www.britishmuseum.org/collection/object/C_2014-4004-12,british_museum,False,
admission-ticket,,,2005,,,admission-ticket,"2005,0414.1",,https://www.britishmuseum.org/collection/object/C_2005-0414-1,british_museum,False,
admission-ticket / souvenir,souvenir,,1982,,,admission-ticket / souvenir,"2014,4004.10",,https://www.britishmuseum.org/collection/object/C_2014-4004-10,british_museum,False,
admission-ticket / souvenir,souvenir,,1982,,,admission-ticket / souvenir,"2014,4004.9",https://media.britishmuseum.org/Repository/Documents/2014_11/10_7/883e5063_fe30_4d91_bbc3_a3df007fc9bc/01494033_001.jpg,https://www.britishmuseum.org/collection/object/C_2014-4004-9,british_museum,False,
admission-ticket,,,1980-1990,,Found/Acquired: Beijing (city),admission-ticket,"2015,4055.1",,https://www.britishmuseum.org/collection/object/C_2015-4055-1,british_museum,False,
souvenir / admission-ticket,admission-ticket,,1980s,,Found/Acquired: China,souvenir / admission-ticket,"2014,4034.8",https://media.britishmuseum.org/Repository/Documents/2014_11/10_19/d9be790b_940a_4cb8_afac_a3df013cfc26/large_01540203_001.jpg,https://www.britishmuseum.org/collection/object/C_2014-4034-8,british_museum,False,
admission-ticket,,,1999,,Found/Acquired: Beijing (city),admission-ticket,"2015,4094.1",,https://www.britishmuseum.org/collection/object/C_2015-4094-1,british_museum,False,
admission-ticket,,,1991,,,admission-ticket,"2009,4182.4",,https://www.britishmuseum.org/collection/object/C_2009-4182-4,british_museum,False,
admission-ticket,,,1999,,Found/Acquired: Beijing (city),admission-ticket,"2015,4094.2",,https://www.britishmuseum.org/collection/object/C_2015-4094-2,british_museum,False,
