title,object_name,culture,period,dynasty,reign,object_date,medium,classification,department,dimensions,credit_line,country,region,artist,artist_bio,artist_nationality,image_url,image_small,object_url,accession_number,accession_year,is_public_domain,source,image_valid,image_local
Story of the Western Chamber,Print,China,"Qing dynasty (1644–1911), Qianlong period (1736–95)",,,,HaHanging scroll; woodblock print; two shades of ink on paper with additional hand coloring,Prints,Asian Art,"Image: 40 3/4 × 21 3/4 in. (103.5 × 55.2 cm)
Overall with mounting: 70 1/2 × 25 3/4 in. (179.1 × 65.4 cm)
Overall with knobs: 70 1/2 × 27 1/2 in. (179.1 × 69.9 cm)","Purchase, C.C. Wang Family Fund Gift, 2025",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-40658-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40658-002.jpg,https://www.metmuseum.org/art/collection/search/911874,2025.385,2025,True,met_museum,True,
Bodhisattva Avalokiteshvara (Guanyin),Figure,China,Yuan dynasty (1271–1368),,,dated 1282,Wood (wiillow) with traces of pigment; single woodblock construction,Sculpture,Asian Art,"a) Guanyin: 39 1/4 in. (99.7 cm)
b) Inscribed block: H. 6 1/2 in. (16.5 cm); W. 2 1/4 in. (5.7 cm); D. 1 in. (2.5 cm)","Purchase, Joseph Pulitzer Bequest, 1934",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP223478.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP223478.jpg,https://www.metmuseum.org/art/collection/search/61658,"34.15.1a, b",1934,True,met_museum,True,
Bowl,Bowl,,,,,15th century,Stonepaste; painted in blue and black under transparent glaze,Ceramics,Islamic Art,"H. 2 15/16 in. (7.5 cm)
Diam. 5 7/8 in. (14.9 cm)","Purchase,  V. Everit Macy Gift, 1932",Iran or Central Asia,,,,,https://images.metmuseum.org/CRDImages/is/original/DP120820.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP120820.jpg,https://www.metmuseum.org/art/collection/search/448663,32.33,1932,True,met_museum,True,
Our Lady of Valvanera,Painting,Peru (Cuzco),,,,ca. 1770–80,Oil and gold on canvas,,The American Wing,80 1/16 × 95 7/8 in. (203.4 × 243.5 cm),"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",,,Unknown,,,https://images.metmuseum.org/CRDImages/ad/original/DP-17034-002.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-17034-002.jpg,https://www.metmuseum.org/art/collection/search/764091,2018.652.3,2018,True,met_museum,True,
"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)","Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes",,Early Ptolemaic Period,,,ca. 332–200 B.C.,"Papyrus, ink",,Egyptian Art,Approximate measurements (framed): L. 21.9 m (71 ft. 10 3/16 in); H. 35 cm (1 ft. 1 3/4 in.). Length previously estimated at 63 ft. (19.2 m).,"Gift of  Edward S. Harkness, 1935",,Middle Egypt,,,,https://images.metmuseum.org/CRDImages/eg/original/2-35.9.20a–w_EGDP014589-4594.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/2-35.9.20a–w_EGDP014589-4594.jpg,https://www.metmuseum.org/art/collection/search/551786,35.9.20a–w,1935,True,met_museum,True,
"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",Print,,,,,ca. 1890–96,Type-metal engraving and letterpress,Prints,Drawings and Prints,Sheet: 15 3/4 × 11 13/16 in. (40 × 30 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",,,José Guadalupe Posada,"Mexican, Aguascalientes 1852–1913 Mexico City",Mexican,https://images.metmuseum.org/CRDImages/dp/original/DP865112.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP865112.jpg,https://www.metmuseum.org/art/collection/search/729644,46.46.311,1946,True,met_museum,True,
The Fieschi Morgan Staurotheke,Reliquary,Byzantine,,,,early 9th century,"Gilded silver, gold, enamel worked in cloisonné, and niello",Enamels-Cloisonné,Medieval Art,"Overall (with lid): 1 1/16 x 4 1/16 x 2 13/16 in. (2.7 x 10.3 x 7.1 cm)
lid only: 2 13/16 x 3 7/8 x 1/8 in. (7.1 x 9.8 x 0.3 cm)
vessel only: 7/8 x 2 15/16 x 4 in. (2.2 x 7.5 x 10.1 cm)","Gift of J. Pierpont Morgan, 1917",,,,,,https://images.metmuseum.org/CRDImages/md/original/DT119.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT119.jpg,https://www.metmuseum.org/art/collection/search/472562,"17.190.715a, b",1917,True,met_museum,True,
Chinese Memory,Time-Based Media; Video; Installation; Sculpture,,,,,2005,"Single-channel video, color, silent, 21 min., 12 sec.; vintage television cabinet with permanent oil marker, glass, acrylic, record cover, scroll, antennae, and books",Variable Media,Modern and Contemporary Art,2024.302a-p: 81 × 55 × 44 in. (205.7 × 139.7 × 111.8 cm),"Purchase, Charles M. Kim and Jean Su Maeng Kim, and Lila Acheson Wallace Gifts, 2024",,,Nam June Paik,"American (born Korea), Seoul 1932–2006 Miami, Florida","American, born Korea",,,https://www.metmuseum.org/art/collection/search/900001,2024.302a–p,2024,False,met_museum,False,
Pipa (琵琶 ),Pipa,Chinese,Ming dynasty (1368-1644),,,late 16th–early 17th century,"Wood, ivory, bone, silk",Chordophone-Lute-plucked-fretted,Musical Instruments,"L. 37 × W. 9 15/16 × D. 1 1/8 in. (94 × 25.3 × 2.9 cm)
see measurements drawing","Bequest of Mary Stillman Harkness, 1950",China,,,,,https://images.metmuseum.org/CRDImages/mi/original/DP319739.jpg,https://images.metmuseum.org/CRDImages/mi/web-large/DP319739.jpg,https://www.metmuseum.org/art/collection/search/503651,50.145.74,1950,True,met_museum,True,
Seated luohan (arhat) in a grotto,Figure,China,Qing dynasty (1644–1911),,,18th century,Jade (nephrite),Jade,Asian Art,H. 7 11/16 in. (19.5 cm); W. 6 3/4 in. (17.2 cm); D. 2 11/16 in. (6.8 cm),"Gift of Heber R. Bishop, 1902",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-14153-052.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-14153-052.jpg,https://www.metmuseum.org/art/collection/search/42188,02.18.640,1902,True,met_museum,True,
