object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_culture,_findspot,_object_name_detail,_image_valid
"1948,0716.30",figure / trident / 'khar-gsil,1801-2000,'khar-gsil,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1948-0716-30,https://media.britishmuseum.org/Repository/Documents/2025_12/28_15/b3d29fd6_54e1_4242_a71d_b3c10100f27c/large_1948_0716_30___2_.jpg,,Found/Acquired: Tibet,"1948,0716.30",2026-05-27,,Found/Acquired: Tibet,figure / trident / 'khar-gsil,
As.3593,abacus,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-3593,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/188bde43_4da9_4c3e_869b_a3dd010974f1/large_01381495_001.jpg,,Found/Acquired: China,As.3593,2026-05-27,,Found/Acquired: China,abacus,
"As,SLMisc.594",abacus,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-SLMisc-594,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/89558d3e_8ff0_4d9e_a70d_a3dd0109768d/large_01381496_001.jpg,,Found/Acquired: China,"As,SLMisc.594",2026-05-27,,Found/Acquired: China,abacus,
OA+.6644,abacus,1644-1911,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-6644,https://media.britishmuseum.org/Repository/Documents/2025_3/14_12/761b00a2_b4ef_4cbd_b985_b2a000ca5b34/large_RRC3401.jpg,,,OA+.6644,2026-05-27,,,abacus,
"2019,4106.1",abacus,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2019-4106-1,,,Found/Acquired: China,"2019,4106.1",2026-05-27,,Found/Acquired: China,abacus,False
"As,SLMisc.552.b",steelyard-case / abacus,,abacus,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-SLMisc-552-b,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/e13b41bb_80fe_4dc1_9be4_a3dd010a5537/large_01381985_001.jpg,,Found/Acquired: China,"As,SLMisc.552.b",2026-05-27,,Found/Acquired: China,steelyard-case / abacus,
"2001,0618.1",abacus,1975,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_2001-0618-1,,,Found/Acquired: Hong Kong,"2001,0618.1",2026-05-27,,Found/Acquired: Hong Kong,abacus,False
"1909,0611.1",abacus,1522-1566,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1909-0611-1,https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/92f5acb3_23fb_48f7_b417_a3ba0162a371/large_00264386_001.jpg,,Found/Acquired: China,"1909,0611.1",2026-05-27,,Found/Acquired: China,abacus,
"1907,1105.2",acroterion,1368-1644,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1907-1105-2,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/5953bf26_fe35_4205_945a_b305009cd3b9/large_RRC5224.jpg,,Found/Acquired: China,"1907,1105.2",2026-05-27,,Found/Acquired: China,acroterion,
OA+.152,acroterion,1368-1644,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-152,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/a6ff18fd_f3d8_4e45_aa6e_b305009cce15/large_RRC2762.jpg,,Found/Acquired: Chin Shan temple,OA+.152,2026-05-27,,Found/Acquired: Chin Shan temple,acroterion,
