object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_source,_sourceId,_sourceType,_url,_imageUrl,_accessionNumber,_onView,_classification,_startYear,_dates,_endYear,_image_valid
20858,"Squat, Wide-mouthed Urn",ca. 3500–3300,Vessel,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/20858,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.409_NegA_print_bw.jpg,,,09.889.409,2026-05-27,sanity,20858,collectionObject,https://www.brooklynmuseum.org/objects/20858,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.409_NegA_print_bw.jpg,09.889.409,False,Vessel,3497,ca. 3500–3300,3503,
20886,Pointed Shape Vase,ca. 3400–3300,Vessel,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/20886,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.437_overall01.jpg,,,09.889.437,2026-05-27,sanity,20886,collectionObject,https://www.brooklynmuseum.org/objects/20886,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.437_overall01.jpg,09.889.437,False,Vessel,3397,ca. 3400–3300,3403,
20866,Jar,ca. 3400–3300,Vessel,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/20866,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.416_NegA_print_bw.jpg,,,09.889.416,2026-05-27,sanity,20866,collectionObject,https://www.brooklynmuseum.org/objects/20866,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.416_NegA_print_bw.jpg,09.889.416,False,Vessel,3397,ca. 3400–3300,3403,
227129,Black Tower Lotus I,2025,Ceramic,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/227129,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.70_overall.jpg,,,2025.78,2026-05-27,sanity,227129,collectionObject,https://www.brooklynmuseum.org/objects/227129,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.70_overall.jpg,2025.78,False,Ceramic,2025,2025,2025,
226957,Somebody Cares,2025,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226957,,,,2025.72,2026-05-27,sanity,226957,collectionObject,https://www.brooklynmuseum.org/objects/226957,,2025.72,False,Sculpture,2025,2025,2025,False
227529,Stars under the Border,2025,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/227529,,,,2026.6,2026-05-27,sanity,227529,collectionObject,https://www.brooklynmuseum.org/objects/227529,,2026.6,False,Painting,2025,2025,2025,False
226910,Ubuntu (Humanity),2025,Ceramic,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226910,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.61_front.jpg,,,2025.61,2026-05-27,sanity,226910,collectionObject,https://www.brooklynmuseum.org/objects/226910,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.61_front.jpg,2025.61,True,Ceramic,2025,2025,2025,
226110,Design for Cabinet,2024,Work on Paper,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226110,,,,2024.65.3,2026-05-27,sanity,226110,collectionObject,https://www.brooklynmuseum.org/objects/226110,,2024.65.3,False,Work on Paper,2024,2024,2024,False
226109,Design for Cabinet,2024,Work on Paper,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226109,,,,2024.65.2,2026-05-27,sanity,226109,collectionObject,https://www.brooklynmuseum.org/objects/226109,,2024.65.2,False,Work on Paper,2024,2024,2024,False
226111,Detail Designs for Cabinet,2024,Work on Paper,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226111,,,,2024.65.4,2026-05-27,sanity,226111,collectionObject,https://www.brooklynmuseum.org/objects/226111,,2024.65.4,False,Work on Paper,2024,2024,2024,False
225895,INSIDE MY DRESS IS A CHEST IS A TREE IS MY LUNGS IS MY HEART IS MY HOME,2024,Work on Paper,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225895,,,,2024.35,2026-05-27,sanity,225895,collectionObject,https://www.brooklynmuseum.org/objects/225895,,2024.35,False,Work on Paper,2024,2024,2024,False
225876,You Pick the Moon,2024,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225876,https://brooklynmuseum.b-cdn.net/collections/objects/2024.57_overall01_PS22.jpg,,,2024.57,2026-05-27,sanity,225876,collectionObject,https://www.brooklynmuseum.org/objects/225876,https://brooklynmuseum.b-cdn.net/collections/objects/2024.57_overall01_PS22.jpg,2024.57,True,Sculpture,2024,2024,2024,
226553,Cave Painting,2024,Installation,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226553,https://brooklynmuseum.b-cdn.net/collections/objects/2025.27_PS22.jpg,,,2025.27,2026-05-27,sanity,226553,collectionObject,https://www.brooklynmuseum.org/objects/226553,https://brooklynmuseum.b-cdn.net/collections/objects/2025.27_PS22.jpg,2025.27,True,Installation,2024,2024,2024,
225893,Bring a Folding Chair: A Portrait of Shirley Chisholm,2024,Textile,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225893,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.1.jpg,,,2025.1,2026-05-27,sanity,225893,collectionObject,https://www.brooklynmuseum.org/objects/225893,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.1.jpg,2025.1,False,Textile,2024,2024,2024,
225904,Portrait with Grapes and Feathers (after Élisabeth Vigée Le Brun),2024,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225904,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.77.jpg,,,2024.77,2026-05-27,sanity,225904,collectionObject,https://www.brooklynmuseum.org/objects/225904,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.77.jpg,2024.77,False,Painting,2024,2024,2024,
226669,Seeking the beyond 3,2024,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226669,https://brooklynmuseum.b-cdn.net/collections/objects/2025.33_cropped_PS22.jpg,,,2025.33,2026-05-27,sanity,226669,collectionObject,https://www.brooklynmuseum.org/objects/226669,https://brooklynmuseum.b-cdn.net/collections/objects/2025.33_cropped_PS22.jpg,2025.33,False,Painting,2024,2024,2024,
227531,Displaced Peoples in Situ: Studio Study XVIII,2024,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/227531,,,,2026.8,2026-05-27,sanity,227531,collectionObject,https://www.brooklynmuseum.org/objects/227531,,2026.8,False,Painting,2024,2024,2024,False
226696,Colored Drinks 2,2024,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226696,https://brooklynmuseum.b-cdn.net/collections/objects/2025.48.2_cropped_PS22.jpg,,,2025.48.2,2026-05-27,sanity,226696,collectionObject,https://www.brooklynmuseum.org/objects/226696,https://brooklynmuseum.b-cdn.net/collections/objects/2025.48.2_cropped_PS22.jpg,2025.48.2,False,Painting,2024,2024,2024,
225896,Tattoo Cabinet,2024,Furnishing,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225896,https://brooklynmuseum.b-cdn.net/collections/objects/2024.65.1_front_PS22.jpg,,,2024.65.1,2026-05-27,sanity,225896,collectionObject,https://www.brooklynmuseum.org/objects/225896,https://brooklynmuseum.b-cdn.net/collections/objects/2024.65.1_front_PS22.jpg,2024.65.1,True,Furnishing,2024,2024,2024,
226384,Jimma Chair,2024,Furnishing,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226384,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.10_Wexler.jpg,,,2025.10,2026-05-27,sanity,226384,collectionObject,https://www.brooklynmuseum.org/objects/226384,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.10_Wexler.jpg,2025.10,True,Furnishing,2024,2024,2024,
225867,Gambling Mat,2024,collectionObject,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225867,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.39.jpeg,,,2024.39,2026-05-27,sanity,225867,collectionObject,https://www.brooklynmuseum.org/objects/225867,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.39.jpeg,2024.39,True,,2024,2024,2024,
226061,Birds of a Feather aka: Chinatown Gangsters,2024,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226061,https://brooklynmuseum.b-cdn.net/collections/objects/2024.71_PS22.jpg,,,2024.71,2026-05-27,sanity,226061,collectionObject,https://www.brooklynmuseum.org/objects/226061,https://brooklynmuseum.b-cdn.net/collections/objects/2024.71_PS22.jpg,2024.71,True,Painting,2024,2024,2024,
