object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_culture,_findspot,_object_name_detail,_image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en,_plant_name,_collection,_source,_sourceId,_sourceType,_url,_imageUrl,_accessionNumber,_onView,_classification,_startYear,_dates,_endYear,_artist,_place_of_origin,_style,_department,_technique,_image_id,_category,_dynasty,_reign,_object_date,_country,_region,_artist_bio,_artist_nationality,_image_small,_accession_year,_is_public_domain,_displayculture,_displaydate,_displayperiod,_objectnumber,_medium_detail,image_valid,aligned_museum,museum_location,aligned_period,period_era,aligned_type,type_category,type_subcategory,aligned_material,material_category
"1948,0716.30",图/三叉戟/哈尔·吉尔,1801-2000,哈尔·吉尔,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1948-0716-30,https://media.britishmuseum.org/Repository/Documents/2025_12/28_15/b3d29fd6_54e1_4242_a71d_b3c10100f27c/large_1948_0716_30___2_.jpg,,发现/获得：Tibet,"1948,0716.30",2026-05-27,清朝（1801-2000）,图,未知,Tibetan,0.75,,Found/Acquired: Tibet,figure / trident / 'khar-gsil,,False,figure / trident / 'khar-gsil,1801-2000,'khar-gsil,,,Tibetan,Found/Acquired: Tibet,Qing dynasty (1801-2000),Figure,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",Qing dynasty (c. 1801),Unknown,图,Unknown,Unknown,,Unknown
As.3593,算盘,,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-3593,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/188bde43_4da9_4c3e_869b_a3dd010974f1/large_01381495_001.jpg,,发现/收购：中国,As.3593,2026-05-27,未知,算盘,未知,未知,0.65,,Found/Acquired: China,abacus,,False,abacus,,,,,Unknown,Found/Acquired: China,Unknown,abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",未知,Unknown,算盘,Unknown,Unknown,,Unknown
"As,SLMisc.594",算盘,,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-SLMisc-594,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/89558d3e_8ff0_4d9e_a70d_a3dd0109768d/large_01381496_001.jpg,,发现/收购：中国,"As,SLMisc.594",2026-05-27,未知,算盘,未知,未知,0.65,,Found/Acquired: China,abacus,,False,abacus,,,,,Unknown,Found/Acquired: China,Unknown,abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",未知,Unknown,算盘,Unknown,Unknown,,Unknown
OA+.6644,算盘,1644-1911,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-6644,https://media.britishmuseum.org/Repository/Documents/2025_3/14_12/761b00a2_b4ef_4cbd_b985_b2a000ca5b34/large_RRC3401.jpg,,,OA+.6644,2026-05-27,清朝（1644-1911）,算盘,未知,未知,0.75,,,abacus,,False,abacus,1644-1911,,,,Unknown,,Qing dynasty (1644-1911),abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",Qing dynasty (c. 1644),Unknown,算盘,Unknown,Unknown,,Unknown
"2019,4106.1",算盘,,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/C_2019-4106-1,,,发现/收购：中国,"2019,4106.1",2026-05-27,未知,算盘,未知,未知,0.65,,Found/Acquired: China,abacus,False,False,abacus,,,,,Unknown,Found/Acquired: China,Unknown,abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",未知,Unknown,算盘,Unknown,Unknown,,Unknown
"As,SLMisc.552.b",秤箱/算盘,,算盘,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-SLMisc-552-b,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/e13b41bb_80fe_4dc1_9be4_a3dd010a5537/large_01381985_001.jpg,,发现/收购：中国,"As,SLMisc.552.b",2026-05-27,未知,秤箱/算盘,未知,未知,0.65,,Found/Acquired: China,steelyard-case / abacus,,False,steelyard-case / abacus,,abacus,,,Unknown,Found/Acquired: China,Unknown,steelyard-case / abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",未知,Unknown,秤箱/算盘,Unknown,Unknown,,Unknown
"2001,0618.1",算盘,1975,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_2001-0618-1,,,发现/收购：香港,"2001,0618.1",2026-05-27,1975,算盘,未知,未知,0.75,,Found/Acquired: Hong Kong,abacus,False,False,abacus,1975,,,,Unknown,Found/Acquired: Hong Kong,1975,abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",Qing dynasty (c. 1975),Unknown,算盘,Unknown,Unknown,,Unknown
"1909,0611.1",算盘,1522-1566,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1909-0611-1,https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/92f5acb3_23fb_48f7_b417_a3ba0162a371/large_00264386_001.jpg,,发现/收购：中国,"1909,0611.1",2026-05-27,明朝（1522-1566）,算盘,未知,未知,0.75,,Found/Acquired: China,abacus,,False,abacus,1522-1566,,,,Unknown,Found/Acquired: China,Ming dynasty (1522-1566),abacus,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",Ming dynasty (c. 1522),Unknown,算盘,Unknown,Unknown,,Unknown
"1907,1105.2",山花饰,1368-1644,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1907-1105-2,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/5953bf26_fe35_4205_945a_b305009cd3b9/large_RRC5224.jpg,,发现/收购：中国,"1907,1105.2",2026-05-27,明朝（1368-1644）,山花饰,未知,未知,0.75,,Found/Acquired: China,acroterion,,False,acroterion,1368-1644,,,,Unknown,Found/Acquired: China,Ming dynasty (1368-1644),acroterion,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",Ming dynasty (c. 1368),Unknown,山花饰,Unknown,Unknown,,Unknown
OA+.152,山花饰,1368-1644,,,,,British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-152,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/a6ff18fd_f3d8_4e45_aa6e_b305009cce15/large_RRC2762.jpg,,发现/收购：金山寺,OA+.152,2026-05-27,明朝（1368-1644）,山花饰,未知,未知,0.75,,Found/Acquired: Chin Shan temple,acroterion,,False,acroterion,1368-1644,,,,Unknown,Found/Acquired: Chin Shan temple,Ming dynasty (1368-1644),acroterion,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Museum,"London, United Kingdom",Ming dynasty (c. 1368),Unknown,山花饰,Unknown,Unknown,,Unknown
