object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_source,_sourceId,_sourceType,_url,_imageUrl,_accessionNumber,_onView,_classification,_startYear,_dates,_endYear,_image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en,aligned_museum,aligned_period,aligned_type,aligned_material
20858,蹲式广口瓮,约3500-3300,船舶,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/20858,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.409_NegA_print_bw.jpg,,,09.889.409,2026-05-27,清朝（3500-3300）,船舶,未知,未知,0.7,sanity,20858,collectionObject,https://www.brooklynmuseum.org/objects/20858,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.409_NegA_print_bw.jpg,09.889.409,False,Vessel,3497,ca. 3500–3300,3503,,False,"Squat, Wide-mouthed Urn",ca. 3500–3300,Vessel,,,Unknown,,Qing dynasty (3500-3300),Vessel,Unknown,Brooklyn Museum,Qing dynasty (c. 3500),船舶,
20886,尖头花瓶,约3400年至3300年,船舶,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/20886,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.437_overall01.jpg,,,09.889.437,2026-05-27,清朝（3400-3300）,船舶,未知,未知,0.7,sanity,20886,collectionObject,https://www.brooklynmuseum.org/objects/20886,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.437_overall01.jpg,09.889.437,False,Vessel,3397,ca. 3400–3300,3403,,False,Pointed Shape Vase,ca. 3400–3300,Vessel,,,Unknown,,Qing dynasty (3400-3300),Vessel,Unknown,Brooklyn Museum,Qing dynasty (c. 3400),船舶,
20866,罐子,约3400年至3300年,船舶,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/20866,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.416_NegA_print_bw.jpg,,,09.889.416,2026-05-27,清朝（3400-3300）,船舶,未知,未知,0.7,sanity,20866,collectionObject,https://www.brooklynmuseum.org/objects/20866,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.416_NegA_print_bw.jpg,09.889.416,False,Vessel,3397,ca. 3400–3300,3403,,False,Jar,ca. 3400–3300,Vessel,,,Unknown,,Qing dynasty (3400-3300),Vessel,Unknown,Brooklyn Museum,Qing dynasty (c. 3400),船舶,
227129,黑塔莲花I,2025,陶瓷,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/227129,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.70_overall.jpg,,,2025.78,2026-05-27,2025,陶瓷,未知,未知,0.7,sanity,227129,collectionObject,https://www.brooklynmuseum.org/objects/227129,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.70_overall.jpg,2025.78,False,Ceramic,2025,2025,2025,,False,Black Tower Lotus I,2025,Ceramic,,,Unknown,,2025,Ceramic,Unknown,Brooklyn Museum,Qing dynasty (c. 2025),陶瓷,
226957,有人关心,2025,雕塑,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226957,,,,2025.72,2026-05-27,2025,雕塑,未知,未知,0.7,sanity,226957,collectionObject,https://www.brooklynmuseum.org/objects/226957,,2025.72,False,Sculpture,2025,2025,2025,False,False,Somebody Cares,2025,Sculpture,,,Unknown,,2025,Sculpture,Unknown,Brooklyn Museum,Qing dynasty (c. 2025),雕塑,
227529,边境下的星星,2025,绘画,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/227529,,,,2026.6,2026-05-27,2025,绘画,未知,未知,0.7,sanity,227529,collectionObject,https://www.brooklynmuseum.org/objects/227529,,2026.6,False,Painting,2025,2025,2025,False,False,Stars under the Border,2025,Painting,,,Unknown,,2025,Painting,Unknown,Brooklyn Museum,Qing dynasty (c. 2025),绘画,
226910,Ubuntu（人类）,2025,陶瓷,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226910,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.61_front.jpg,,,2025.61,2026-05-27,2025,陶瓷,未知,未知,0.7,sanity,226910,collectionObject,https://www.brooklynmuseum.org/objects/226910,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.61_front.jpg,2025.61,True,Ceramic,2025,2025,2025,,False,Ubuntu (Humanity),2025,Ceramic,,,Unknown,,2025,Ceramic,Unknown,Brooklyn Museum,Qing dynasty (c. 2025),陶瓷,
226110,机柜设计,2024,写论文,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226110,,,,2024.65.3,2026-05-27,2024,写论文,未知,未知,0.7,sanity,226110,collectionObject,https://www.brooklynmuseum.org/objects/226110,,2024.65.3,False,Work on Paper,2024,2024,2024,False,False,Design for Cabinet,2024,Work on Paper,,,Unknown,,2024,Work on Paper,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),写论文,
226109,机柜设计,2024,写论文,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226109,,,,2024.65.2,2026-05-27,2024,写论文,未知,未知,0.7,sanity,226109,collectionObject,https://www.brooklynmuseum.org/objects/226109,,2024.65.2,False,Work on Paper,2024,2024,2024,False,False,Design for Cabinet,2024,Work on Paper,,,Unknown,,2024,Work on Paper,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),写论文,
226111,机柜详细设计,2024,写论文,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226111,,,,2024.65.4,2026-05-27,2024,写论文,未知,未知,0.7,sanity,226111,collectionObject,https://www.brooklynmuseum.org/objects/226111,,2024.65.4,False,Work on Paper,2024,2024,2024,False,False,Detail Designs for Cabinet,2024,Work on Paper,,,Unknown,,2024,Work on Paper,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),写论文,
225895,我的衣服里面是一个箱子是一棵树是我的肺是我的心是我的家,2024,写论文,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225895,,,,2024.35,2026-05-27,2024,写论文,未知,未知,0.7,sanity,225895,collectionObject,https://www.brooklynmuseum.org/objects/225895,,2024.35,False,Work on Paper,2024,2024,2024,False,False,INSIDE MY DRESS IS A CHEST IS A TREE IS MY LUNGS IS MY HEART IS MY HOME,2024,Work on Paper,,,Unknown,,2024,Work on Paper,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),写论文,
225876,你选择月亮,2024,雕塑,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225876,https://brooklynmuseum.b-cdn.net/collections/objects/2024.57_overall01_PS22.jpg,,,2024.57,2026-05-27,2024,雕塑,未知,未知,0.7,sanity,225876,collectionObject,https://www.brooklynmuseum.org/objects/225876,https://brooklynmuseum.b-cdn.net/collections/objects/2024.57_overall01_PS22.jpg,2024.57,True,Sculpture,2024,2024,2024,,False,You Pick the Moon,2024,Sculpture,,,Unknown,,2024,Sculpture,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),雕塑,
226553,洞穴壁画,2024,安装,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226553,https://brooklynmuseum.b-cdn.net/collections/objects/2025.27_PS22.jpg,,,2025.27,2026-05-27,2024,安装,未知,未知,0.7,sanity,226553,collectionObject,https://www.brooklynmuseum.org/objects/226553,https://brooklynmuseum.b-cdn.net/collections/objects/2025.27_PS22.jpg,2025.27,True,Installation,2024,2024,2024,,False,Cave Painting,2024,Installation,,,Unknown,,2024,Installation,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),安装,
225893,带一把折叠椅：雪莉·奇泽姆的肖像,2024,纺织,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225893,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.1.jpg,,,2025.1,2026-05-27,2024,纺织,未知,未知,0.7,sanity,225893,collectionObject,https://www.brooklynmuseum.org/objects/225893,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.1.jpg,2025.1,False,Textile,2024,2024,2024,,False,Bring a Folding Chair: A Portrait of Shirley Chisholm,2024,Textile,,,Unknown,,2024,Textile,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),纺织,
225904,《带葡萄和羽毛的肖像》（以伊丽莎白·维格·勒布伦为蓝本）,2024,绘画,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225904,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.77.jpg,,,2024.77,2026-05-27,2024,绘画,未知,未知,0.7,sanity,225904,collectionObject,https://www.brooklynmuseum.org/objects/225904,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.77.jpg,2024.77,False,Painting,2024,2024,2024,,False,Portrait with Grapes and Feathers (after Élisabeth Vigée Le Brun),2024,Painting,,,Unknown,,2024,Painting,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),绘画,
226669,寻求超越3,2024,绘画,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226669,https://brooklynmuseum.b-cdn.net/collections/objects/2025.33_cropped_PS22.jpg,,,2025.33,2026-05-27,2024,绘画,未知,未知,0.7,sanity,226669,collectionObject,https://www.brooklynmuseum.org/objects/226669,https://brooklynmuseum.b-cdn.net/collections/objects/2025.33_cropped_PS22.jpg,2025.33,False,Painting,2024,2024,2024,,False,Seeking the beyond 3,2024,Painting,,,Unknown,,2024,Painting,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),绘画,
227531,流离失所者现场：工作室研究十八,2024,绘画,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/227531,,,,2026.8,2026-05-27,2024,绘画,未知,未知,0.7,sanity,227531,collectionObject,https://www.brooklynmuseum.org/objects/227531,,2026.8,False,Painting,2024,2024,2024,False,False,Displaced Peoples in Situ: Studio Study XVIII,2024,Painting,,,Unknown,,2024,Painting,Unknown,Brooklyn Museum,Qing dynasty (c. 2024),绘画,
