object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_artist,_place_of_origin,_style,_department,_technique,_image_id,_classification,_image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en,aligned_museum,aligned_period,aligned_type,aligned_material
25247,盛开的牡丹,清朝（1644-1911），日期为1911年,,悬挂卷轴；丝绸上的墨水和颜色,,131 × 52.1 cm (51 9/16 × 20 1/2 in.); Including mount and knobs: 284.8 × 83.2 cm (112 1/8 × 32 3/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/25247,"https://www.artic.edu/iiif/2/a8278b19-fd1e-5324-d0ba-d4e8dbf6f1c6/full/843,/0/default.jpg",,威廉·J·卡尔霍恩夫人的礼物,,2026-05-27,清朝（1644-1912）,未知,丝绸,中文,0.8,"Artist unknown (Chinese, early 20th century)
Attributed in inscription to the ""imperial brush""",China,Chinese (culture or style),Arts of Asia,,a8278b19-fd1e-5324-d0ba-d4e8dbf6f1c6,,,False,Tree Peonies in Full Bloom,"Qing dynasty (1644–1911), dated 1911",,Hanging scroll; ink and colors on silk,,Chinese,Gift of Mrs. William J. Calhoun,Qing dynasty (1644-1912),Unknown,Silk,Art Institute of Chicago,Qing dynasty (c. 1644),未知,丝绸
4942,Ellen Andrée的肖像,约1876年,,象牙瓷纸上黑色和棕色墨水的单字体，周围镶嵌着奶油色的平铺纸,,Image: 21.6 × 16 cm (8 9/16 × 6 5/16 in.); Primary support: 23.7 × 18.5 cm (9 3/8 × 7 5/16 in.); Secondary support: 34.3 × 29.5 cm (13 9/16 × 11 5/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/4942,"https://www.artic.edu/iiif/2/4d8397c5-e392-f6ec-4d6a-cbdfc556b036/full/843,/0/default.jpg",,波特帕尔默收藏,,2026-05-27,约1876年,未知,象牙,未知,0.8,"Edgar Degas
French, 1834-1917",France,,Prints and Drawings,,4d8397c5-e392-f6ec-4d6a-cbdfc556b036,,,False,Portrait of Ellen Andrée,c. 1876,,"Monotype in black and brown ink on ivory china paper perimeter mounted to a cream, laid paper",,Unknown,Potter Palmer Collection,c. 1876,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1876),未知,象牙
15010,船形盘子,约1820年,,彩釉和镀金瓷器,,6.7 × 24.9 × 13 cm (2 5/8 × 9 13/16 × 5 1/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/15010,"https://www.artic.edu/iiif/2/87ba830c-678a-b582-1ace-8c2dda4cfcc3/full/843,/0/default.jpg",,尤金·D·布坎南的礼物,,2026-05-27,约1820年,未知,瓷,未知,0.8,"Wedgwood Manufactory
England, founded 1759",Burslem,,Applied Arts of Europe,,87ba830c-678a-b582-1ace-8c2dda4cfcc3,,,False,Boat-Shaped Dish,c. 1820,,Porcelain with polychrome enamels and gilding,,Unknown,Gift of Eugene D. Buchanan,c. 1820,Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1820),未知,瓷
7111,等待,约1879年,,浅灰色象牙瓷纸上的黑褐色墨水单体,,Image/plate: 11.9 × 16.1 cm (4 11/16 × 6 3/8 in.); Sheet: 16.4 × 18.9 cm (6 1/2 × 7 1/2 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/7111,"https://www.artic.edu/iiif/2/d5d7acaf-e247-5e04-6c27-7825bba63ed2/full/843,/0/default.jpg",,Charles F.Glore夫人的礼物,,2026-05-27,约1879年,未知,象牙,未知,0.8,"Edgar Degas
French, 1834-1917",France,,Prints and Drawings,,d5d7acaf-e247-5e04-6c27-7825bba63ed2,,,False,Waiting,c. 1879,,Monotype in blackish-brown ink on grayish-ivory china paper,,Unknown,Gift of Mrs. Charles F. Glore,c. 1879,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1879),未知,象牙
15014,茶壶架,约1815年,,彩釉和镀金瓷器,,1.9 × 20 × 14.9 cm (3/4 × 7 7/8 × 5 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/15014,"https://www.artic.edu/iiif/2/dde0093c-f839-46fc-4ae3-7f2412b5e6ce/full/843,/0/default.jpg",,尤金·D·布坎南的礼物,,2026-05-27,约1815年,未知,瓷,未知,0.8,"Wedgwood Manufactory
England, founded 1759",Burslem,,Applied Arts of Europe,,dde0093c-f839-46fc-4ae3-7f2412b5e6ce,,,False,Teapot Stand,c. 1815,,Porcelain with polychrome enamels and gilding,,Unknown,Gift of Eugene D. Buchanan,c. 1815,Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1815),未知,瓷
143675,中国男孩,1980,,三块面板上的丙烯酸、麦格纳、油、珐琅,,"Three panels, each: 91.4 × 152.4 cm (36 × 60 in.); 91.5 × 152.4 cm (36 × 60 in.)",Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/143675,"https://www.artic.edu/iiif/2/3ec6d704-7793-7004-3724-a6c0aec3e54f/full/843,/0/default.jpg",,Amy和Carrie Busch为纪念他们的父亲Charles Lehman Busch而赠送的礼物,,2026-05-27,1980,未知,三块面板上的丙烯酸、麦格纳、油、珐琅,未知,0.8,"Nicholas Africano
American, born 1948",United States,,Contemporary Art,,3ec6d704-7793-7004-3724-a6c0aec3e54f,,,False,China Boy,1980,,"Acrylic, magna, oil, enamel on three panels",,Unknown,"Gift of Amy and Carrie Busch in honor of their father, Charles Lehman Busch",1980,Unknown,"Acrylic, magna, oil, enamel on three panels",Art Institute of Chicago,Qing dynasty (c. 1980),未知,油
15012,盘子,约1820年,,彩瓷和镀金,,Diam.: 21.6 cm (8 1/2 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/15012,"https://www.artic.edu/iiif/2/9e22eb85-7251-0a2e-c56d-22b71115835e/full/843,/0/default.jpg",,尤金·D·布坎南的礼物,,2026-05-27,约1820年,未知,瓷,未知,0.8,"Wedgwood Manufactory
England, founded 1759",Burslem,,Applied Arts of Europe,,9e22eb85-7251-0a2e-c56d-22b71115835e,,,True,Plate,c. 1820,,Porcelain polychrome enamels and gilding,,Unknown,Gift of Eugene D. Buchanan,c. 1820,Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1820),未知,瓷
220492,轰炸，中国,1945,,钢笔、毛笔和黑色墨水，在石墨上擦除，在象牙编织纸上用石墨划线,,36.8 × 58.9 cm (14 1/2 × 23 1/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/220492,"https://www.artic.edu/iiif/2/034eca79-fed5-4266-6153-775b1e10015f/full/843,/0/default.jpg",,索尔·斯坦伯格基金会的礼物,,2026-05-27,1945,未知,象牙,未知,0.8,"Saul Steinberg
American, born Romania, 1914-1999",United States,,Prints and Drawings,,034eca79-fed5-4266-6153-775b1e10015f,,,False,"Bombing, China",1945,,"Pen and brush and black ink, over graphite and erasing, ruled in graphite, on ivory wove paper",,Unknown,Gift of The Saul Steinberg Foundation,1945,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1945),未知,象牙
139465,裸体模特，站立,大概1891年,,灰色象牙纸上的黑色转印石版画,,Image: 18.9 × 10.9 cm (7 1/2 × 4 5/16 in.); Sheet: 29 × 19 cm (11 7/16 × 7 1/2 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/139465,"https://www.artic.edu/iiif/2/f86c4281-ef8e-4922-605b-8fa886a901e5/full/843,/0/default.jpg",,皇室为纪念詹姆斯·N·伍德而赠送的礼物,,2026-05-27,大概1891年,未知,象牙,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,f86c4281-ef8e-4922-605b-8fa886a901e5,,,False,"Nude Model, Standing",probably 1891,,Transfer lithograph in black on grayish ivory China paper,,Unknown,Gift of the Crown Family in honor of James N. Wood,probably 1891,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1891),未知,象牙
19935,Liverdun,1858,,用黑色墨水在米白色的宣纸上用粗口蚀刻，宣纸放在米白色编织纸上,,Plate: 10.9 × 15.4 cm (4 5/16 × 6 1/8 in.); Sheet: 29.4 × 35.1 cm (11 5/8 × 13 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/19935,"https://www.artic.edu/iiif/2/289638d4-9b19-4ef3-f72d-4c6f0ae4f7e9/full/843,/0/default.jpg",,布莱恩·莱思罗普收藏,,2026-05-27,1858,未知,用黑色墨水在米白色的宣纸上用粗口蚀刻，宣纸放在米白色编织纸上（ch,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,289638d4-9b19-4ef3-f72d-4c6f0ae4f7e9,,,False,Liverdun,1858,,Etching with foul biting in black ink on off-white China paper laid down on off-white wove paper (chine collé),,Unknown,Bryan Lathrop Collection,1858,Unknown,Etching with foul biting in black ink on off-white China paper laid down on off-white wove paper (ch,Art Institute of Chicago,Qing dynasty (c. 1858),未知,墨水
