name,uri
José Guadalupe Posada,http://buct-kg.org/resource/artist/Jos_Guadalupe_Posada
Nam June Paik,http://buct-kg.org/resource/artist/Nam_June_Paik
Chantilly,http://buct-kg.org/resource/artist/Chantilly
Songye artist and nganga (ritual specialist),http://buct-kg.org/resource/artist/Songye_artist_and_nganga_ritual_specialist
Guido Reni,http://buct-kg.org/resource/artist/Guido_Reni
Ferdinand Berthoud,http://buct-kg.org/resource/artist/Ferdinand_Berthoud
Northern Highlands artist,http://buct-kg.org/resource/artist/Northern_Highlands_artist
Jacometto (Jacometto Veneziano),http://buct-kg.org/resource/artist/Jacometto_Jacometto_Veneziano
Jean Antoine Houdon,http://buct-kg.org/resource/artist/Jean_Antoine_Houdon
Han Gan,http://buct-kg.org/resource/artist/Han_Gan
Kaikei,http://buct-kg.org/resource/artist/Kaikei
Fra Carnevale (Bartolomeo di Giovanni Corradini),http://buct-kg.org/resource/artist/Fra_Carnevale_Bartolomeo_di_Giovanni_Corradini
Meissen Manufactory,http://buct-kg.org/resource/artist/Meissen_Manufactory
Musō Soseki,http://buct-kg.org/resource/artist/Mus_Soseki
Li Jin,http://buct-kg.org/resource/artist/Li_Jin
Elisabeth Louise Vigée Le Brun,http://buct-kg.org/resource/artist/Elisabeth_Louise_Vig_e_Le_Brun
Gerard David,http://buct-kg.org/resource/artist/Gerard_David
Agostino d'Antonio di Duccio,http://buct-kg.org/resource/artist/Agostino_d_Antonio_di_Duccio
Uto Gyoshi,http://buct-kg.org/resource/artist/Uto_Gyoshi
Paul Gauguin,http://buct-kg.org/resource/artist/Paul_Gauguin
William Linnell,http://buct-kg.org/resource/artist/William_Linnell
Joachim Patinir,http://buct-kg.org/resource/artist/Joachim_Patinir
Jan Jansen Bockeltz,http://buct-kg.org/resource/artist/Jan_Jansen_Bockeltz
Dapeng Zhengkun (Taihō Shōkon),http://buct-kg.org/resource/artist/Dapeng_Zhengkun_Taih_Sh_kon
Villeroy,http://buct-kg.org/resource/artist/Villeroy
Edgar Degas,http://buct-kg.org/resource/artist/Edgar_Degas
Wedgwood Manufactory,http://buct-kg.org/resource/artist/Wedgwood_Manufactory
Nicholas Africano,http://buct-kg.org/resource/artist/Nicholas_Africano
Saul Steinberg,http://buct-kg.org/resource/artist/Saul_Steinberg
James McNeill Whistler,http://buct-kg.org/resource/artist/James_McNeill_Whistler
Marc Riboud,http://buct-kg.org/resource/artist/Marc_Riboud
William Henry Fox Talbot,http://buct-kg.org/resource/artist/William_Henry_Fox_Talbot
"MOS (American, founded 2003)",http://buct-kg.org/resource/artist/MOS_American_founded_2003
China,http://buct-kg.org/resource/artist/China
"After a design by Guy-Louis Vernansal (French, 1648–1729) and others",http://buct-kg.org/resource/artist/After_a_design_by_Guy_Louis_Vernansal_French_1648_1729_and_others
Jules Bastien-Lepage,http://buct-kg.org/resource/artist/Jules_Bastien_Lepage
Laurie Anderson,http://buct-kg.org/resource/artist/Laurie_Anderson
Josef Sudek,http://buct-kg.org/resource/artist/Josef_Sudek
Joseph Mallord William Turner,http://buct-kg.org/resource/artist/Joseph_Mallord_William_Turner
"Skidmore, Owings & Merrill (American, founded 1936)",http://buct-kg.org/resource/artist/Skidmore_Owings_Merrill_American_founded_1936
Beatrix Godwin Whistler,http://buct-kg.org/resource/artist/Beatrix_Godwin_Whistler
"Edward Weston (American, 1886–1958)",http://buct-kg.org/resource/artist/Edward_Weston_American_1886_1958
Adolphe Appian,http://buct-kg.org/resource/artist/Adolphe_Appian
Eugène Carrière,http://buct-kg.org/resource/artist/Eug_ne_Carri_re
"American China Manufactory (American, active 1770-72)",http://buct-kg.org/resource/artist/American_China_Manufactory_American_active_1770_72
Arthur Rothstein,http://buct-kg.org/resource/artist/Arthur_Rothstein
Andy Warhol,http://buct-kg.org/resource/artist/Andy_Warhol
"Hiratsuka Un'ichi (Japanese, 1895-1997)",http://buct-kg.org/resource/artist/Hiratsuka_Un_ichi_Japanese_1895_1997
"Frederic Clay Bartlett (American, 1873–1953)",http://buct-kg.org/resource/artist/Frederic_Clay_Bartlett_American_1873_1953
Made by Hmong Refugees from Laos,http://buct-kg.org/resource/artist/Made_by_Hmong_Refugees_from_Laos
"Thom Mayne (American, born 1944)",http://buct-kg.org/resource/artist/Thom_Mayne_American_born_1944
Edouard Jean Vuillard,http://buct-kg.org/resource/artist/Edouard_Jean_Vuillard
"Designed by Larsen Design Studio (American, 1958-1997)",http://buct-kg.org/resource/artist/Designed_by_Larsen_Design_Studio_American_1958_1997
"Designed by Jean Baptiste Huet (French, 1745–1811) or Hippolyte Lebas (French, 1782–1867)",http://buct-kg.org/resource/artist/Designed_by_Jean_Baptiste_Huet_French_1745_1811_or_Hippolyte_Lebas_French_1782_1867
Kitao Shigemasa,http://buct-kg.org/resource/artist/Kitao_Shigemasa
Al Kaufman,http://buct-kg.org/resource/artist/Al_Kaufman
"Oskar Kokoschka (English, born Austria, 1886-1980)",http://buct-kg.org/resource/artist/Oskar_Kokoschka_English_born_Austria_1886_1980
Hao Ping,http://buct-kg.org/resource/artist/Hao_Ping
"Joseph Swain (English, 1820-1909)",http://buct-kg.org/resource/artist/Joseph_Swain_English_1820_1909
Rodolphe Bresdin,http://buct-kg.org/resource/artist/Rodolphe_Bresdin
Henri de Toulouse-Lautrec,http://buct-kg.org/resource/artist/Henri_de_Toulouse_Lautrec
"China, probably Hunan province",http://buct-kg.org/resource/artist/China_probably_Hunan_province
Tony Fitzpatrick,http://buct-kg.org/resource/artist/Tony_Fitzpatrick
"Paul Cézanne (French, 1839–1906)",http://buct-kg.org/resource/artist/Paul_C_zanne_French_1839_1906
Ruth-Marion Baruch,http://buct-kg.org/resource/artist/Ruth_Marion_Baruch
"China, Fujian Province",http://buct-kg.org/resource/artist/China_Fujian_Province
Eugène Delacroix,http://buct-kg.org/resource/artist/Eug_ne_Delacroix
John Thomson,http://buct-kg.org/resource/artist/John_Thomson
Manchu,http://buct-kg.org/resource/artist/Manchu
Anders Ruhwald,http://buct-kg.org/resource/artist/Anders_Ruhwald
Designed by Edouard Bénédictus,http://buct-kg.org/resource/artist/Designed_by_Edouard_B_n_dictus
Lawrence K. Snider,http://buct-kg.org/resource/artist/Lawrence_K_Snider
"Edouard Vuillard (French, 1868-1940)",http://buct-kg.org/resource/artist/Edouard_Vuillard_French_1868_1940
Henri Matisse,http://buct-kg.org/resource/artist/Henri_Matisse
Japanese,http://buct-kg.org/resource/artist/Japanese
Raoul Dufy,http://buct-kg.org/resource/artist/Raoul_Dufy
"Eugène Isabey (French, 1803-1886)",http://buct-kg.org/resource/artist/Eug_ne_Isabey_French_1803_1886
"Edvard Munch (Norwegian, 1863-1944)",http://buct-kg.org/resource/artist/Edvard_Munch_Norwegian_1863_1944
Honoré Victorin Daumier,http://buct-kg.org/resource/artist/Honor_Victorin_Daumier
"Édouard Manet (French, 1832-1883)",http://buct-kg.org/resource/artist/douard_Manet_French_1832_1883
"Edouard Jean Vuillard (French, 1868-1940)",http://buct-kg.org/resource/artist/Edouard_Jean_Vuillard_French_1868_1940
"José Guadalupe Posada (Mexican, 1852-1913)",http://buct-kg.org/resource/artist/Jos_Guadalupe_Posada_Mexican_1852_1913
Utagawa Hiroshige II (Shigenobu),http://buct-kg.org/resource/artist/Utagawa_Hiroshige_II_Shigenobu
"André Dunoyer, de Segonzac",http://buct-kg.org/resource/artist/Andr_Dunoyer_de_Segonzac
John Henry Twachtman,http://buct-kg.org/resource/artist/John_Henry_Twachtman
Pierre Bonnard,http://buct-kg.org/resource/artist/Pierre_Bonnard
Odilon Redon,http://buct-kg.org/resource/artist/Odilon_Redon
