object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
"1948,0716.30",图/三叉戟/哈尔·吉尔,,,"1948,0716.30",https://www.britishmuseum.org/collection/object/A_1948-0716-30,https://media.britishmuseum.org/Repository/Documents/2025_12/28_15/b3d29fd6_54e1_4242_a71d_b3c10100f27c/large_1948_0716_30___2_.jpg,Qing dynasty (c. 1801),图,,0.75
As.3593,算盘,,,As.3593,https://www.britishmuseum.org/collection/object/A_As-3593,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/188bde43_4da9_4c3e_869b_a3dd010974f1/large_01381495_001.jpg,未知,算盘,,0.65
"As,SLMisc.594",算盘,,,"As,SLMisc.594",https://www.britishmuseum.org/collection/object/A_As-SLMisc-594,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/89558d3e_8ff0_4d9e_a70d_a3dd0109768d/large_01381496_001.jpg,未知,算盘,,0.65
OA+.6644,算盘,,,OA+.6644,https://www.britishmuseum.org/collection/object/A_OA-6644,https://media.britishmuseum.org/Repository/Documents/2025_3/14_12/761b00a2_b4ef_4cbd_b985_b2a000ca5b34/large_RRC3401.jpg,Qing dynasty (c. 1644),算盘,,0.75
"2019,4106.1",算盘,,,"2019,4106.1",https://www.britishmuseum.org/collection/object/C_2019-4106-1,,未知,算盘,,0.65
"As,SLMisc.552.b",秤箱/算盘,,,"As,SLMisc.552.b",https://www.britishmuseum.org/collection/object/A_As-SLMisc-552-b,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/e13b41bb_80fe_4dc1_9be4_a3dd010a5537/large_01381985_001.jpg,未知,秤箱/算盘,,0.65
"2001,0618.1",算盘,,,"2001,0618.1",https://www.britishmuseum.org/collection/object/A_2001-0618-1,,Qing dynasty (c. 1975),算盘,,0.75
"1909,0611.1",算盘,,,"1909,0611.1",https://www.britishmuseum.org/collection/object/A_1909-0611-1,https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/92f5acb3_23fb_48f7_b417_a3ba0162a371/large_00264386_001.jpg,Ming dynasty (c. 1522),算盘,,0.75
"1907,1105.2",山花饰,,,"1907,1105.2",https://www.britishmuseum.org/collection/object/A_1907-1105-2,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/5953bf26_fe35_4205_945a_b305009cd3b9/large_RRC5224.jpg,Ming dynasty (c. 1368),山花饰,,0.75
OA+.152,山花饰,,,OA+.152,https://www.britishmuseum.org/collection/object/A_OA-152,https://media.britishmuseum.org/Repository/Documents/2025_6/23_9/a6ff18fd_f3d8_4e45_aa6e_b305009cce15/large_RRC2762.jpg,Ming dynasty (c. 1368),山花饰,,0.75
