name,uri
China,http://buct-kg.org/resource/location/China
Iran or Central Asia,http://buct-kg.org/resource/location/Iran_or_Central_Asia
Peru (Cuzco),http://buct-kg.org/resource/location/Peru_Cuzco
Middle Egypt,http://buct-kg.org/resource/location/Middle_Egypt
Byzantine,http://buct-kg.org/resource/location/Byzantine
American,http://buct-kg.org/resource/location/American
French,http://buct-kg.org/resource/location/French
Central Tibet,http://buct-kg.org/resource/location/Central_Tibet
Mesopotamia,http://buct-kg.org/resource/location/Mesopotamia
Japan,http://buct-kg.org/resource/location/Japan
Democratic Republic of the Congo,http://buct-kg.org/resource/location/Democratic_Republic_of_the_Congo
Italian,http://buct-kg.org/resource/location/Italian
Ethiopia,http://buct-kg.org/resource/location/Ethiopia
Northern Upper Egypt,http://buct-kg.org/resource/location/Northern_Upper_Egypt
Egypt,http://buct-kg.org/resource/location/Egypt
German,http://buct-kg.org/resource/location/German
Northern France (?),http://buct-kg.org/resource/location/Northern_France
Tibet,http://buct-kg.org/resource/location/Tibet
Syria,http://buct-kg.org/resource/location/Syria
Chinese,http://buct-kg.org/resource/location/Chinese
France,http://buct-kg.org/resource/location/France
Burslem,http://buct-kg.org/resource/location/Burslem
United States,http://buct-kg.org/resource/location/United_States
England,http://buct-kg.org/resource/location/England
Beauvais,http://buct-kg.org/resource/location/Beauvais
Czech Republic,http://buct-kg.org/resource/location/Czech_Republic
Shanghai,http://buct-kg.org/resource/location/Shanghai
Paris,http://buct-kg.org/resource/location/Paris
Philadelphia,http://buct-kg.org/resource/location/Philadelphia
New York City,http://buct-kg.org/resource/location/New_York_City
Jingdezhen,http://buct-kg.org/resource/location/Jingdezhen
California,http://buct-kg.org/resource/location/California
Jouy-en-Josas,http://buct-kg.org/resource/location/Jouy_en_Josas
Junyao,http://buct-kg.org/resource/location/Junyao
Scotland,http://buct-kg.org/resource/location/Scotland
Lyon,http://buct-kg.org/resource/location/Lyon
Norway,http://buct-kg.org/resource/location/Norway
Mexico,http://buct-kg.org/resource/location/Mexico
Hunan,http://buct-kg.org/resource/location/Hunan
Iran,http://buct-kg.org/resource/location/Iran
Switzerland,http://buct-kg.org/resource/location/Switzerland
South Africa,http://buct-kg.org/resource/location/South_Africa
Stoke-on-Trent,http://buct-kg.org/resource/location/Stoke_on_Trent
Shropshire,http://buct-kg.org/resource/location/Shropshire
Worcester,http://buct-kg.org/resource/location/Worcester
Dehua,http://buct-kg.org/resource/location/Dehua
Stoke on Trent,http://buct-kg.org/resource/location/Stoke_on_Trent
Netherlands,http://buct-kg.org/resource/location/Netherlands
Germany,http://buct-kg.org/resource/location/Germany
Bohemia,http://buct-kg.org/resource/location/Bohemia
Belgium,http://buct-kg.org/resource/location/Belgium
Tibetan,http://buct-kg.org/resource/location/Tibetan
Botanical,http://buct-kg.org/resource/location/Botanical
"Greek, Attic",http://buct-kg.org/resource/location/Greek_Attic
Cochiti,http://buct-kg.org/resource/location/Cochiti
Roman,http://buct-kg.org/resource/location/Roman
Maya,http://buct-kg.org/resource/location/Maya
Kuba,http://buct-kg.org/resource/location/Kuba
Maya (Codex style),http://buct-kg.org/resource/location/Maya_Codex_style
Lambeyeque,http://buct-kg.org/resource/location/Lambeyeque
Tesuque,http://buct-kg.org/resource/location/Tesuque
Haak’u (Acoma),http://buct-kg.org/resource/location/Haak_u_Acoma
Nasca,http://buct-kg.org/resource/location/Nasca
Nepalese,http://buct-kg.org/resource/location/Nepalese
Etruscan,http://buct-kg.org/resource/location/Etruscan
possibly Bamileke,http://buct-kg.org/resource/location/possibly_Bamileke
Xochipala,http://buct-kg.org/resource/location/Xochipala
Classic Veracruz,http://buct-kg.org/resource/location/Classic_Veracruz
Japanese,http://buct-kg.org/resource/location/Japanese
Taíno,http://buct-kg.org/resource/location/Ta_no
Dogon,http://buct-kg.org/resource/location/Dogon
Mexica,http://buct-kg.org/resource/location/Mexica
Edo,http://buct-kg.org/resource/location/Edo
Paracas,http://buct-kg.org/resource/location/Paracas
Persian,http://buct-kg.org/resource/location/Persian
Bwa,http://buct-kg.org/resource/location/Bwa
Greater Greater Coclé (Macaracas style),http://buct-kg.org/resource/location/Greater_Greater_Cocl_Macaracas_style
Yorùbá,http://buct-kg.org/resource/location/Yor_b
Tlatilco (Type D4),http://buct-kg.org/resource/location/Tlatilco_Type_D4
Olmec style,http://buct-kg.org/resource/location/Olmec_style
Egyptian,http://buct-kg.org/resource/location/Egyptian
Wari,http://buct-kg.org/resource/location/Wari
Iranian,http://buct-kg.org/resource/location/Iranian
Wé,http://buct-kg.org/resource/location/W
Po-woh-ge-oweenge (San Ildefonso),http://buct-kg.org/resource/location/Po_woh_ge_oweenge_San_Ildefonso
Akan,http://buct-kg.org/resource/location/Akan
Greek,http://buct-kg.org/resource/location/Greek
Indian,http://buct-kg.org/resource/location/Indian
Korean,http://buct-kg.org/resource/location/Korean
Greater Diquís,http://buct-kg.org/resource/location/Greater_Diqu_s
Tsonga,http://buct-kg.org/resource/location/Tsonga
Guro,http://buct-kg.org/resource/location/Guro
Senufo or Bamana,http://buct-kg.org/resource/location/Senufo_or_Bamana
Fulani (Fulbe),http://buct-kg.org/resource/location/Fulani_Fulbe
Northern Edo,http://buct-kg.org/resource/location/Northern_Edo
Tlatilco (Type D1),http://buct-kg.org/resource/location/Tlatilco_Type_D1
Ethiopian,http://buct-kg.org/resource/location/Ethiopian
Bamileke,http://buct-kg.org/resource/location/Bamileke
Diné,http://buct-kg.org/resource/location/Din
"Indian, Company School",http://buct-kg.org/resource/location/Indian_Company_School
Thai,http://buct-kg.org/resource/location/Thai
She-we-na (Zuni),http://buct-kg.org/resource/location/She_we_na_Zuni
Kewa (Santo Domingo),http://buct-kg.org/resource/location/Kewa_Santo_Domingo
Late Chimú (or Inka),http://buct-kg.org/resource/location/Late_Chim_or_Inka
possibly Chavín,http://buct-kg.org/resource/location/possibly_Chav_n
Cupisnique,http://buct-kg.org/resource/location/Cupisnique
Chancay,http://buct-kg.org/resource/location/Chancay
Mochica,http://buct-kg.org/resource/location/Mochica
Tembladera,http://buct-kg.org/resource/location/Tembladera
Wari (Atarco B Style),http://buct-kg.org/resource/location/Wari_Atarco_B_Style
Nupe,http://buct-kg.org/resource/location/Nupe
Vietnamese,http://buct-kg.org/resource/location/Vietnamese
Ohkay Owingeh (San Juan),http://buct-kg.org/resource/location/Ohkay_Owingeh_San_Juan
Zia,http://buct-kg.org/resource/location/Zia
Mesopotamian,http://buct-kg.org/resource/location/Mesopotamian
"Greek, Cretan",http://buct-kg.org/resource/location/Greek_Cretan
Chinese (southern) | Japanese,http://buct-kg.org/resource/location/Chinese_southern_Japanese
Japanese photographer,http://buct-kg.org/resource/location/Japanese_photographer
Lingít,http://buct-kg.org/resource/location/Ling_t
Calima,http://buct-kg.org/resource/location/Calima
Ancient Puebloan,http://buct-kg.org/resource/location/Ancient_Puebloan
Mimbres,http://buct-kg.org/resource/location/Mimbres
La Tolita-Tumaco,http://buct-kg.org/resource/location/La_Tolita_Tumaco
British photographer,http://buct-kg.org/resource/location/British_photographer
Canelos-Quichua,http://buct-kg.org/resource/location/Canelos_Quichua
Costa Rican,http://buct-kg.org/resource/location/Costa_Rican
Greater Nicoya,http://buct-kg.org/resource/location/Greater_Nicoya
Central Region-Atlantic Watershed,http://buct-kg.org/resource/location/Central_Region_Atlantic_Watershed
"Early Byzantine period, 395–641 CE",http://buct-kg.org/resource/location/Early_Byzantine_period_395_641_CE
Ixtlán del Río style,http://buct-kg.org/resource/location/Ixtl_n_del_R_o_style
Salado,http://buct-kg.org/resource/location/Salado
Kuba artist,http://buct-kg.org/resource/location/Kuba_artist
Wurkun,http://buct-kg.org/resource/location/Wurkun
Urhobo,http://buct-kg.org/resource/location/Urhobo
probably Kom,http://buct-kg.org/resource/location/probably_Kom
Eket,http://buct-kg.org/resource/location/Eket
Comala style,http://buct-kg.org/resource/location/Comala_style
Salinar,http://buct-kg.org/resource/location/Salinar
Late Roman,http://buct-kg.org/resource/location/Late_Roman
Inka,http://buct-kg.org/resource/location/Inka
British,http://buct-kg.org/resource/location/British
American photographer,http://buct-kg.org/resource/location/American_photographer
probably Lingít,http://buct-kg.org/resource/location/probably_Ling_t
Haida,http://buct-kg.org/resource/location/Haida
Northwest Coast,http://buct-kg.org/resource/location/Northwest_Coast
probably Makah,http://buct-kg.org/resource/location/probably_Makah
Dakota,http://buct-kg.org/resource/location/Dakota
"probably Haida , possibly Lingít",http://buct-kg.org/resource/location/probably_Haida_possibly_Ling_t
Kongo,http://buct-kg.org/resource/location/Kongo
"Greek, Boeotian, Tanagra",http://buct-kg.org/resource/location/Greek_Boeotian_Tanagra
Islamic,http://buct-kg.org/resource/location/Islamic
Lydian,http://buct-kg.org/resource/location/Lydian
Central Italian,http://buct-kg.org/resource/location/Central_Italian
East Greek or Carian,http://buct-kg.org/resource/location/East_Greek_or_Carian
