name,uri,era
Qing dynasty (1644-1912),http://buct-kg.org/resource/period/Qing_dynasty_1644_1912,Imperial China
Yuan dynasty (1271-1368),http://buct-kg.org/resource/period/Yuan_dynasty_1271_1368,Imperial China
Unknown,http://buct-kg.org/resource/period/Unknown,Unknown
Early Ptolemaic Period,http://buct-kg.org/resource/period/Early_Ptolemaic_Period,Unknown
Ming dynasty (1368-1644),http://buct-kg.org/resource/period/Ming_dynasty_1368_1644,Imperial China
Bronze Age,http://buct-kg.org/resource/period/Bronze_Age,Unknown
Northern Wei dynasty (386-534),http://buct-kg.org/resource/period/Northern_Wei_dynasty_386_534,Unknown
Kamakura period (1185-1333),http://buct-kg.org/resource/period/Kamakura_period_1185_1333,Medieval Japan
Middle Kingdom,http://buct-kg.org/resource/period/Middle_Kingdom,Unknown
Tang dynasty (c. 794),http://buct-kg.org/resource/period/Tang_dynasty_c_794,Unknown
"New Kingdom, Ramesside",http://buct-kg.org/resource/period/New_Kingdom_Ramesside,Unknown
Tang dynasty (618-907),http://buct-kg.org/resource/period/Tang_dynasty_618_907,Imperial China
Yuan dynasty (c. 1336),http://buct-kg.org/resource/period/Yuan_dynasty_c_1336,Unknown
Edo period (1603-1868),http://buct-kg.org/resource/period/Edo_period_1603_1868,Early Modern Japan
16th century,http://buct-kg.org/resource/period/16th_century,Unknown
Beginning of the 20th century,http://buct-kg.org/resource/period/Beginning_of_the_20th_century,Unknown
4th millennium BC,http://buct-kg.org/resource/period/4th_millennium_BC,Unknown
Qing dynasty (c. 2025),http://buct-kg.org/resource/period/Qing_dynasty_c_2025,Unknown
Qing dynasty (c. 2024),http://buct-kg.org/resource/period/Qing_dynasty_c_2024,Unknown
Qing dynasty (c. 2023),http://buct-kg.org/resource/period/Qing_dynasty_c_2023,Unknown
Qing dynasty (c. 2022),http://buct-kg.org/resource/period/Qing_dynasty_c_2022,Unknown
Qing dynasty (c. 2021),http://buct-kg.org/resource/period/Qing_dynasty_c_2021,Unknown
Qing dynasty (c. 2020),http://buct-kg.org/resource/period/Qing_dynasty_c_2020,Unknown
Qing dynasty (c. 2019),http://buct-kg.org/resource/period/Qing_dynasty_c_2019,Unknown
Qing dynasty (c. 2018),http://buct-kg.org/resource/period/Qing_dynasty_c_2018,Unknown
Qing dynasty (c. 2017),http://buct-kg.org/resource/period/Qing_dynasty_c_2017,Unknown
Qing dynasty (c. 2016),http://buct-kg.org/resource/period/Qing_dynasty_c_2016,Unknown
Qing dynasty (c. 2015),http://buct-kg.org/resource/period/Qing_dynasty_c_2015,Unknown
Qing dynasty (c. 2014),http://buct-kg.org/resource/period/Qing_dynasty_c_2014,Unknown
Qing dynasty (c. 2013),http://buct-kg.org/resource/period/Qing_dynasty_c_2013,Unknown
