object_id,aligned_artist
729644,José Guadalupe Posada
900001,Nam June Paik
207247,Chantilly
310453,Songye artist and nganga (ritual specialist)
437422,Guido Reni
206965,Ferdinand Berthoud
317877,Northern Highlands artist
459027,Jacometto (Jacometto Veneziano)
459028,Jacometto (Jacometto Veneziano)
200668,Jean Antoine Houdon
39901,Han Gan
53176,Kaikei
435848,Fra Carnevale (Bartolomeo di Giovanni Corradini)
205883,Meissen Manufactory
816189,Musō Soseki
776714,Li Jin
824771,Elisabeth Louise Vigée Le Brun
436102,Gerard David
192770,Agostino d'Antonio di Duccio
53222,Uto Gyoshi
438821,Paul Gauguin
203842,William Linnell
437261,Joachim Patinir
194191,Jan Jansen Bockeltz
49068,Dapeng Zhengkun (Taihō Shōkon)
207157,Villeroy
237451,Villeroy
4942,Edgar Degas
15010,Wedgwood Manufactory
7111,Edgar Degas
15014,Wedgwood Manufactory
143675,Nicholas Africano
15012,Wedgwood Manufactory
220492,Saul Steinberg
139465,James McNeill Whistler
19935,James McNeill Whistler
73995,James McNeill Whistler
22746,Marc Riboud
20000,James McNeill Whistler
138054,James McNeill Whistler
227552,William Henry Fox Talbot
198854,"MOS (American, founded 2003)"
60915,China
189775,"After a design by Guy-Louis Vernansal (French, 1648–1729) and others"
48,Jules Bastien-Lepage
15033,Wedgwood Manufactory
14447,James McNeill Whistler
119371,Laurie Anderson
199136,Josef Sudek
32740,Joseph Mallord William Turner
188274,"Skidmore, Owings & Merrill (American, founded 1936)"
147872,Beatrix Godwin Whistler
75330,China
121044,"Edward Weston (American, 1886–1958)"
65,Adolphe Appian
139460,James McNeill Whistler
139562,James McNeill Whistler
48846,Eugène Carrière
266210,"American China Manufactory (American, active 1770-72)"
101573,Arthur Rothstein
109169,James McNeill Whistler
194369,Andy Warhol
194370,Andy Warhol
147873,Beatrix Godwin Whistler
101574,Arthur Rothstein
135,China
111962,James McNeill Whistler
184562,"Hiratsuka Un'ichi (Japanese, 1895-1997)"
15030,Wedgwood Manufactory
134,China
19970,James McNeill Whistler
80494,"Frederic Clay Bartlett (American, 1873–1953)"
38985,William Henry Fox Talbot
139470,James McNeill Whistler
7934,China
191156,"Hiratsuka Un'ichi (Japanese, 1895-1997)"
29530,James McNeill Whistler
53832,"Hiratsuka Un'ichi (Japanese, 1895-1997)"
109200,James McNeill Whistler
139462,James McNeill Whistler
148877,Made by Hmong Refugees from Laos
18438,China
101571,Arthur Rothstein
80112,James McNeill Whistler
86380,China
233330,"Thom Mayne (American, born 1944)"
2583,China
137970,James McNeill Whistler
29408,James McNeill Whistler
132651,James McNeill Whistler
3446,Edouard Jean Vuillard
43060,China
18467,China
137976,James McNeill Whistler
185963,China
2728,China
46808,"Designed by Larsen Design Studio (American, 1958-1997)"
12270,China
12054,China
35376,China
32532,China
2511,China
4453,China
109184,James McNeill Whistler
50502,"Designed by Jean Baptiste Huet (French, 1745–1811) or Hippolyte Lebas (French, 1782–1867)"
22042,Kitao Shigemasa
29149,China
18568,China
21284,China
14460,China
2344,China
190614,Al Kaufman
60912,China
70115,China
200412,"Oskar Kokoschka (English, born Austria, 1886-1980)"
15906,China
5006,China
15722,China
182878,Hao Ping
14474,"Joseph Swain (English, 1820-1909)"
8056,Rodolphe Bresdin
12552,China
8636,Henri de Toulouse-Lautrec
18522,China
233322,"Thom Mayne (American, born 1944)"
233328,"Thom Mayne (American, born 1944)"
12476,China
12086,"China, probably Hunan province"
27925,China
21653,China
23497,China
4450,China
70003,China
32631,China
12380,China
212904,Tony Fitzpatrick
21296,China
7931,China
48991,China
10522,China
12123,China
147008,China
35367,China
12229,China
12763,China
31955,China
22200,China
82071,"Paul Cézanne (French, 1839–1906)"
12284,China
12198,China
150533,Ruth-Marion Baruch
15742,China
2532,China
88724,China
20392,"China, Fujian Province"
15910,China
147007,China
9734,China
233326,"Thom Mayne (American, born 1944)"
199164,Josef Sudek
12491,China
73236,China
11098,Eugène Delacroix
