object_id,aligned_museum
"1948,0716.30",British Museum
As.3593,British Museum
"As,SLMisc.594",British Museum
OA+.6644,British Museum
"2019,4106.1",British Museum
"As,SLMisc.552.b",British Museum
"2001,0618.1",British Museum
"1909,0611.1",British Museum
"1907,1105.2",British Museum
OA+.152,British Museum
"1938,0524.6",British Museum
MAS.1073,British Museum
OA+.151,British Museum
"2014,4004.11",British Museum
"2014,4004.12",British Museum
"2005,0414.1",British Museum
"2014,4004.10",British Museum
"2014,4004.9",British Museum
"2015,4055.1",British Museum
"2014,4034.8",British Museum
"2015,4094.1",British Museum
"2009,4182.4",British Museum
"2015,4094.2",British Museum
"1993,0813,0.1",British Museum
"1991,0219,0.11.1-3",British Museum
"1986,0319,0.44",British Museum
"As1906,1226.29",British Museum
"1979,1012.4",British Museum
"1979,1012.1",British Museum
"1979,1012.39",British Museum
"1979,1012.28",British Museum
"1979,1012.5",British Museum
"1979,1012.9",British Museum
"1979,1012.23",British Museum
"1979,1012.7",British Museum
"1979,1012.14",British Museum
"1979,1012.27",British Museum
"1959,0216.15",British Museum
As.7097,British Museum
OA+.3873,British Museum
"1979,1012.8",British Museum
OA+.3874,British Museum
As.7104,British Museum
OA+.3872,British Museum
OA+.3880,British Museum
As.7093,British Museum
OA+.3878,British Museum
"1979,1012.24",British Museum
"1979,1012.18",British Museum
"1979,1012.19",British Museum
"1979,1012.20",British Museum
"1959,0216.16",British Museum
"1979,1012.6",British Museum
"1979,1012.36",British Museum
"1979,1012.32",British Museum
"1979,1012.2",British Museum
"1950,0405.18",British Museum
"1979,1012.3",British Museum
"1979,1012.33",British Museum
"1979,1012.11",British Museum
"1979,1012.12",British Museum
"1979,1012.13",British Museum
"1979,1012.26",British Museum
"2018,6015.6",British Museum
"As1925,0615.1",British Museum
"1979,1012.10",British Museum
As.7098,British Museum
OA+.3875,British Museum
OA+.3881,British Museum
As.7094,British Museum
OA+.3879,British Museum
As.7095,British Museum
"1979,1012.21",British Museum
"1979,1012.15",British Museum
"1979,1012.34",British Museum
"1963,1014.6",British Museum
"1979,1012.22",British Museum
As.7099,British Museum
"1979,1012.16",British Museum
"1979,1012.35",British Museum
"1979,1012.29",British Museum
"1979,1012.17",British Museum
"1979,1012.30",British Museum
"1979,1012.43",British Museum
"1979,1012.37",British Museum
"1979,1012.31",British Museum
"1979,1012.25",British Museum
"1926,1204.24",British Museum
"1936,1007.2",British Museum
"1936,1007.5",British Museum
"1913,0721.7",British Museum
"1936,1007.3",British Museum
"1905,0518.75.a-b",British Museum
Franks.807,British Museum
"1962,1231,0.5.1-28",British Museum
"1869,0508,0.1",British Museum
"1948,0710,0.34.16",British Museum
"1934,0512,0.1.1-16",British Museum
"1986,0313,0.1.137",British Museum
"1986,0313,0.1.208",British Museum
5cc48dc5a511,Brooklyn Botanic Garden
8831d3c5f3a9,Brooklyn Botanic Garden
20858,Brooklyn Museum
20886,Brooklyn Museum
20866,Brooklyn Museum
227129,Brooklyn Museum
226957,Brooklyn Museum
227529,Brooklyn Museum
226910,Brooklyn Museum
226110,Brooklyn Museum
226109,Brooklyn Museum
226111,Brooklyn Museum
225895,Brooklyn Museum
225876,Brooklyn Museum
226553,Brooklyn Museum
225893,Brooklyn Museum
225904,Brooklyn Museum
226669,Brooklyn Museum
227531,Brooklyn Museum
226696,Brooklyn Museum
225896,Brooklyn Museum
226384,Brooklyn Museum
225867,Brooklyn Museum
226061,Brooklyn Museum
226064,Brooklyn Museum
226063,Brooklyn Museum
225881,Brooklyn Museum
225892,Brooklyn Museum
225495,Brooklyn Museum
225769,Brooklyn Museum
225658,Brooklyn Museum
226382,Brooklyn Museum
226383,Brooklyn Museum
225656,Brooklyn Museum
225877,Brooklyn Museum
226551,Brooklyn Museum
225861,Brooklyn Museum
226575,Brooklyn Museum
226920,Brooklyn Museum
225894,Brooklyn Museum
226695,Brooklyn Museum
226206,Brooklyn Museum
225768,Brooklyn Museum
225929,Brooklyn Museum
226487,Brooklyn Museum
225513,Brooklyn Museum
225429,Brooklyn Museum
225000,Brooklyn Museum
224943,Brooklyn Museum
225738,Brooklyn Museum
225139,Brooklyn Museum
225001,Brooklyn Museum
225296,Brooklyn Museum
225515,Brooklyn Museum
225427,Brooklyn Museum
225518,Brooklyn Museum
225759,Brooklyn Museum
225294,Brooklyn Museum
225758,Brooklyn Museum
225910,Brooklyn Museum
225767,Brooklyn Museum
225761,Brooklyn Museum
225760,Brooklyn Museum
225764,Brooklyn Museum
225762,Brooklyn Museum
225765,Brooklyn Museum
225763,Brooklyn Museum
225766,Brooklyn Museum
225497,Brooklyn Museum
225860,Brooklyn Museum
225292,Brooklyn Museum
226701,Brooklyn Museum
225287,Brooklyn Museum
226599,Brooklyn Museum
226511,Brooklyn Museum
225871,Brooklyn Museum
225425,Brooklyn Museum
225728,Brooklyn Museum
225521,Brooklyn Museum
225537,Brooklyn Museum
225514,Brooklyn Museum
226907,Brooklyn Museum
226912,Brooklyn Museum
225650,Brooklyn Museum
225013,Brooklyn Museum
224999,Brooklyn Museum
225773,Brooklyn Museum
226922,Brooklyn Museum
225771,Brooklyn Museum
225887,Brooklyn Museum
225039,Brooklyn Museum
225038,Brooklyn Museum
225071,Brooklyn Museum
225049,Brooklyn Museum
225046,Brooklyn Museum
225053,Brooklyn Museum
225048,Brooklyn Museum
224941,Brooklyn Museum
225488,Brooklyn Museum
225646,Brooklyn Museum
225050,Brooklyn Museum
224897,Brooklyn Museum
225770,Brooklyn Museum
225434,Brooklyn Museum
225041,Brooklyn Museum
225030,Brooklyn Museum
225032,Brooklyn Museum
225519,Brooklyn Museum
225878,Brooklyn Museum
225035,Brooklyn Museum
225967,Brooklyn Museum
225034,Brooklyn Museum
225754,Brooklyn Museum
225753,Brooklyn Museum
225804,Brooklyn Museum
226911,Brooklyn Museum
226913,Brooklyn Museum
226956,Brooklyn Museum
226914,Brooklyn Museum
224946,Brooklyn Museum
