object_id,aligned_period
"1948,0716.30",Qing dynasty (c. 1801)
As.3593,未知
"As,SLMisc.594",未知
OA+.6644,Qing dynasty (c. 1644)
"2019,4106.1",未知
"As,SLMisc.552.b",未知
"2001,0618.1",Qing dynasty (c. 1975)
"1909,0611.1",Ming dynasty (c. 1522)
"1907,1105.2",Ming dynasty (c. 1368)
OA+.152,Ming dynasty (c. 1368)
"1938,0524.6",Ming dynasty (c. 1368)
MAS.1073,8日-10日
OA+.151,Yuan dynasty (c. 1350)
"2014,4004.11",Qing dynasty (c. 1982)
"2014,4004.12",Qing dynasty (c. 1982)
"2005,0414.1",Qing dynasty (c. 2005)
"2014,4004.10",Qing dynasty (c. 1982)
"2014,4004.9",Qing dynasty (c. 1982)
"2015,4055.1",Qing dynasty (c. 1980)
"2014,4034.8",Qing dynasty (c. 1980)
"2015,4094.1",Qing dynasty (c. 1999)
"2009,4182.4",Qing dynasty (c. 1991)
"2015,4094.2",Qing dynasty (c. 1999)
"1993,0813,0.1",Qing dynasty (c. 1930)
"1991,0219,0.11.1-3",Qing dynasty (c. 1980)
"1986,0319,0.44",未知
"As1906,1226.29",未知
"1979,1012.4",未知
"1979,1012.1",未知
"1979,1012.39",未知
"1979,1012.28",未知
"1979,1012.5",未知
"1979,1012.9",未知
"1979,1012.23",未知
"1979,1012.7",未知
"1979,1012.14",未知
"1979,1012.27",未知
"1959,0216.15",Qing dynasty (c. 5000)
As.7097,未知
OA+.3873,未知
"1979,1012.8",未知
OA+.3874,未知
As.7104,未知
OA+.3872,未知
OA+.3880,未知
As.7093,未知
OA+.3878,未知
"1979,1012.24",未知
"1979,1012.18",未知
"1979,1012.19",未知
"1979,1012.20",未知
"1959,0216.16",Qing dynasty (c. 5000)
"1979,1012.6",未知
"1979,1012.36",未知
"1979,1012.32",未知
"1979,1012.2",未知
"1950,0405.18",第一不列颠哥伦比亚省
"1979,1012.3",未知
"1979,1012.33",未知
"1979,1012.11",未知
"1979,1012.12",未知
"1979,1012.13",未知
"1979,1012.26",未知
"2018,6015.6",Qing dynasty (c. 2010)
"As1925,0615.1",未知
"1979,1012.10",未知
As.7098,未知
OA+.3875,未知
OA+.3881,未知
As.7094,未知
OA+.3879,未知
As.7095,未知
"1979,1012.21",未知
"1979,1012.15",未知
"1979,1012.34",未知
"1963,1014.6",未知
"1979,1012.22",未知
As.7099,未知
"1979,1012.16",未知
"1979,1012.35",未知
"1979,1012.29",未知
"1979,1012.17",未知
"1979,1012.30",未知
"1979,1012.43",未知
"1979,1012.37",未知
"1979,1012.31",未知
"1979,1012.25",未知
"1926,1204.24",未知
"1936,1007.2",Qing dynasty (c. 1901)
"1936,1007.5",未知
"1913,0721.7",Qing dynasty (c. 1900)
"1936,1007.3",未知
"1905,0518.75.a-b",19日C
Franks.807,Ming dynasty (c. 1621)
"1962,1231,0.5.1-28",Qing dynasty (c. 1820)
"1869,0508,0.1",未知
"1948,0710,0.34.16",19日C
"1934,0512,0.1.1-16",未知
"1986,0313,0.1.137",Qing dynasty (c. 1937)
"1986,0313,0.1.208",Qing dynasty (c. 1936)
5cc48dc5a511,生活收藏
8831d3c5f3a9,生活收藏
20858,Qing dynasty (c. 3500)
20886,Qing dynasty (c. 3400)
20866,Qing dynasty (c. 3400)
227129,Qing dynasty (c. 2025)
226957,Qing dynasty (c. 2025)
227529,Qing dynasty (c. 2025)
226910,Qing dynasty (c. 2025)
226110,Qing dynasty (c. 2024)
226109,Qing dynasty (c. 2024)
226111,Qing dynasty (c. 2024)
225895,Qing dynasty (c. 2024)
225876,Qing dynasty (c. 2024)
226553,Qing dynasty (c. 2024)
225893,Qing dynasty (c. 2024)
225904,Qing dynasty (c. 2024)
226669,Qing dynasty (c. 2024)
227531,Qing dynasty (c. 2024)
226696,Qing dynasty (c. 2024)
225896,Qing dynasty (c. 2024)
226384,Qing dynasty (c. 2024)
225867,Qing dynasty (c. 2024)
226061,Qing dynasty (c. 2024)
226064,Qing dynasty (c. 2024)
226063,Qing dynasty (c. 2024)
225881,Qing dynasty (c. 2024)
225892,Qing dynasty (c. 2023)
225495,Qing dynasty (c. 2023)
225769,Qing dynasty (c. 2023)
225658,Qing dynasty (c. 2023)
226382,Qing dynasty (c. 2023)
226383,Qing dynasty (c. 2023)
225656,Qing dynasty (c. 2023)
225877,Qing dynasty (c. 2023)
226551,Qing dynasty (c. 2023)
225861,Qing dynasty (c. 2023)
226575,Qing dynasty (c. 2023)
226920,Qing dynasty (c. 2023)
225894,Qing dynasty (c. 2023)
226695,Qing dynasty (c. 2023)
226206,Qing dynasty (c. 2023)
225768,Qing dynasty (c. 2023)
225929,Qing dynasty (c. 2023)
226487,Qing dynasty (c. 2023)
225513,Qing dynasty (c. 2022)
225429,Qing dynasty (c. 2022)
225000,Qing dynasty (c. 2022)
224943,Qing dynasty (c. 2022)
225738,Qing dynasty (c. 2022)
225139,Qing dynasty (c. 2022)
225001,Qing dynasty (c. 2022)
225296,Qing dynasty (c. 2022)
225515,Qing dynasty (c. 2022)
225427,Qing dynasty (c. 2022)
225518,Qing dynasty (c. 2022)
225759,Qing dynasty (c. 2022)
225294,Qing dynasty (c. 2022)
225758,Qing dynasty (c. 2022)
225910,Qing dynasty (c. 2022)
225767,Qing dynasty (c. 2022)
225761,Qing dynasty (c. 2022)
225760,Qing dynasty (c. 2022)
225764,Qing dynasty (c. 2022)
225762,Qing dynasty (c. 2022)
225765,Qing dynasty (c. 2022)
225763,Qing dynasty (c. 2022)
225766,Qing dynasty (c. 2022)
225497,Qing dynasty (c. 2022)
225860,Qing dynasty (c. 2022)
225292,Qing dynasty (c. 2022)
226701,Qing dynasty (c. 2022)
225287,Qing dynasty (c. 2022)
226599,Qing dynasty (c. 2022)
226511,Qing dynasty (c. 2022)
225871,Qing dynasty (c. 2022)
225425,Qing dynasty (c. 2022)
225728,Qing dynasty (c. 2022)
225521,Qing dynasty (c. 2022)
225537,Qing dynasty (c. 2022)
225514,Qing dynasty (c. 2022)
226907,Qing dynasty (c. 2022)
226912,Qing dynasty (c. 2022)
225650,Qing dynasty (c. 2022)
225013,Qing dynasty (c. 2022)
224999,Qing dynasty (c. 2022)
225773,Qing dynasty (c. 2022)
226922,Qing dynasty (c. 2022)
225771,Qing dynasty (c. 2022)
225887,Qing dynasty (c. 2022)
