name,era
Qing dynasty (1644-1912),Imperial China
Unknown,Unknown
Qing dynasty (c. 1975),Unknown
Ming dynasty (1368-1644),Imperial China
8thC-10thC,Unknown
Yuan dynasty (1271-1368),Imperial China
Qing dynasty (c. 1982),Unknown
Qing dynasty (c. 2005),Unknown
Qing dynasty (c. 1980),Unknown
Qing dynasty (c. 1999),Unknown
Qing dynasty (c. 1991),Unknown
Qing dynasty (c. 1930),Unknown
Qing dynasty (c. 5000),Unknown
1stC BC,Unknown
Qing dynasty (c. 2010),Unknown
Qing dynasty (c. 1900),Unknown
19thC,Unknown
Ming dynasty (c. 1621),Unknown
Qing dynasty (c. 1820),Unknown
Qing dynasty (c. 1937),Unknown
Living collection,Unknown
Qing dynasty (c. 2025),Unknown
Qing dynasty (c. 2024),Unknown
Qing dynasty (c. 2023),Unknown
Qing dynasty (c. 2022),Unknown
Qing dynasty (c. 2021),Unknown
Qing dynasty (c. 2020),Unknown
Qing dynasty (c. 2019),Unknown
Qing dynasty (c. 2018),Unknown
Qing dynasty (c. 2017),Unknown
Qing dynasty (c. 2016),Unknown
Qing dynasty (c. 2015),Unknown
Qing dynasty (c. 2014),Unknown
Qing dynasty (c. 2013),Unknown
Qing dynasty (c. 2012),Unknown
Qing dynasty (c. 2011),Unknown
Qing dynasty (c. 1989),Unknown
Qing dynasty (c. 1876),Unknown
Qing dynasty (c. 1879),Unknown
Qing dynasty (c. 1815),Unknown
Qing dynasty (c. 1945),Unknown
Qing dynasty (c. 1891),Unknown
Qing dynasty (c. 1858),Unknown
Qing dynasty (c. 1893),Unknown
Qing dynasty (c. 1957),Unknown
Qing dynasty (c. 1857),Unknown
Qing dynasty (c. 1843),Unknown
Qing dynasty (c. 2008),Unknown
Qing dynasty (c. 1716),Unknown
Qing dynasty (c. 1878),Unknown
Qing dynasty (c. 1971),Unknown
Qing dynasty (c. 1932),Unknown
n.d.,Unknown
Qing dynasty (c. 1894),Unknown
Qing dynasty (c. 1940),Unknown
Qing dynasty (c. 1882),Unknown
Qing dynasty (c. 1770),Unknown
Qing dynasty (c. 1946),Unknown
Qing dynasty (c. 1944),Unknown
Qing dynasty (c. 1920),Unknown
Qing dynasty (c. 1844),Unknown
Qing dynasty (c. 1760),Unknown
Qing dynasty (c. 1943),Unknown
Qing dynasty (c. 1955),Unknown
Qing dynasty (c. 1896),Unknown
Qing dynasty (c. 1992),Unknown
Tang dynasty (618-907),Imperial China
Qing dynasty (c. 1750),Unknown
Qing dynasty (c. 1899),Unknown
Song dynasty (960-1279),Imperial China
Song dynasty (c. 1046),Unknown
Qing dynasty (c. 1960),Unknown
Han dynasty (206 BCE-220 CE),Imperial China
Qing dynasty (c. 1805),Unknown
"Western Wei dynasty (A.D. 535–557), dated A.D. 551",Unknown
Tang dynasty (c. 770),Unknown
Qing dynasty (c. 1914),Unknown
Qing dynasty (c. 1998),Unknown
Qing dynasty (c. 1862),Unknown
Qing dynasty (c. 1871),Unknown
Qing dynasty (c. 1897),Unknown
Song dynasty (c. 1115),Unknown
Qing dynasty (c. 1994),Unknown
Qing dynasty (c. 1721),Unknown
"Northern dynasties, 6th century",Unknown
Shang dynasty (c. 1600-1046 BCE),Ancient China
Early 20th century,Unknown
Qing dynasty (c. 1836),Unknown
Sui dynasty (581-618),Unknown
Qing dynasty (c. 1873),Unknown
Warring States period (475-221 BCE),Unknown
Qing dynasty (c. 1925),Unknown
Qing dynasty (c. 1780),Unknown
Qing dynasty (c. 1993),Unknown
Qing dynasty (c. 1861),Unknown
15th century,Unknown
Qing dynasty (c. 1831),Unknown
Qing dynasty (c. 1834),Unknown
Qing dynasty (c. 1874),Unknown
Northern Wei dynasty (386-534),Unknown
Qing dynasty (c. 1875),Unknown
Qing dynasty (c. 1765),Unknown
Qing dynasty (c. 1859),Unknown
Qing dynasty (c. 1860),Unknown
Qing dynasty (c. 1927),Unknown
Qing dynasty (c. 1828),Unknown
Neolithic period,Unknown
Qing dynasty (c. 1881),Unknown
Tang dynasty (c. 937),Unknown
Qing dynasty (c. 1924),Unknown
Tang dynasty (c. 907),Unknown
Qing dynasty (c. 2002),Unknown
Qing dynasty (c. 1842),Unknown
Qing dynasty (c. 1854),Unknown
Qing dynasty (c. 1963),Unknown
Qing dynasty (c. 1883),Unknown
Qing dynasty (c. 1974),Unknown
Qing dynasty (c. 1952),Unknown
late 2nd millennium B.C.,Unknown
Qing dynasty (c. 1921),Unknown
Qing dynasty (c. 1956),Unknown
Qing dynasty (c. 1965),Unknown
Qing dynasty (c. 1885),Unknown
Qing dynasty (c. 1942),Unknown
Qing dynasty (c. 1962),Unknown
Qing dynasty (c. 1934),Unknown
Qing dynasty (c. 1884),Unknown
Qing dynasty (c. 1889),Unknown
Qing dynasty (c. 1970),Unknown
Qing dynasty (c. 2004),Unknown
Qing dynasty (c. 1848),Unknown
"Erlitou period, 1st half of 2nd millennium B.C.",Unknown
Qing dynasty (c. 1888),Unknown
Qing dynasty (c. 1906),Unknown
Qing dynasty (c. 1870),Unknown
Qing dynasty (c. 1855),Unknown
Qing dynasty (c. 1745),Unknown
Qing dynasty (c. 1898),Unknown
Qing dynasty (c. 1901),Unknown
Qing dynasty (c. 1785),Unknown
Qing dynasty (c. 1880),Unknown
Qing dynasty (c. 1866),Unknown
"Eastern or Western Wei dynasty, c. mid–5th century (rededicated 594)",Unknown
Qing dynasty (c. 1846),Unknown
Qing dynasty (c. 1787),Unknown
Qing dynasty (c. 1947),Unknown
Qing dynasty (c. 1700),Unknown
Qing dynasty (c. 1890),Unknown
Qing dynasty (c. 1923),Unknown
Qing dynasty (c. 1865),Unknown
Qing dynasty (c. 1877),Unknown
Qing dynasty (c. 1775),Unknown
19th century,Unknown
Qing dynasty (c. 1922),Unknown
Qing dynasty (c. 1850),Unknown
Qing dynasty (c. 1826),Unknown
Qing dynasty (c. 1784),Unknown
Qing dynasty (c. 1835),Unknown
Qing dynasty (c. 1651),Unknown
Qing dynasty (c. 1949),Unknown
18th/19th century,Unknown
Qing dynasty (c. 1867),Unknown
Qing dynasty (c. 1904),Unknown
Qing dynasty (c. 1644),Unknown
Qing dynasty (c. 1818),Unknown
Qing dynasty (c. 1895),Unknown
Qing dynasty (c. 1845),Unknown
Qing dynasty (c. 1951),Unknown
Qing dynasty (c. 1853),Unknown
Qing dynasty (c. 1907),Unknown
Qing dynasty (c. 1959),Unknown
Qing dynasty (c. 1863),Unknown
6th/4th century B.C.,Unknown
Qing dynasty (c. 1887),Unknown
Ming dynasty (c. 1600),Unknown
16th century,Unknown
Beginning of the 20th century,Unknown
4th millennium BC,Unknown
Early Ptolemaic Period,Unknown
Bronze Age,Unknown
Kamakura period (1185-1333),Medieval Japan
Middle Kingdom,Unknown
Tang dynasty (c. 794),Unknown
"New Kingdom, Ramesside",Unknown
Yuan dynasty (c. 1336),Unknown
Edo period (1603-1868),Early Modern Japan
c. 490 BCE,Unknown
mid-20th century,Unknown
Qing dynasty (c. 1948),Unknown
Qing dynasty (c. 1950),Unknown
Greek period,Ancient Greece
Qing dynasty (c. 2000),Unknown
Qing dynasty (c. 1833),Unknown
Qing dynasty (c. 1984),Unknown
Roman Imperial period (27 BCE-476 CE),Roman Empire
Qing dynasty (c. 1935),Unknown
Early Classic Period,Unknown
Ming dynasty (c. 1612),Unknown
Qing dynasty (c. 1902),Unknown
early 20th century,Unknown
Late Classic Period,Unknown
early 3rd century CE,Unknown
Song dynasty (c. 1140),Unknown
Qing dynasty (c. 1657),Unknown
Ming dynasty (c. 1514),Unknown
Qing dynasty (c. 1996),Unknown
early to mid-20th century,Unknown
Late Intermediate Period,Unknown
Early Intermediate Period,Unknown
Qing dynasty (c. 1966),Unknown
Qing dynasty (c. 1788),Unknown
late 19th–early 20th century,Unknown
Qing dynasty (c. 2009),Unknown
Late Formative Period to Early Classic Period,Unknown
