name,category,subcategory
Figure,Sculpture,Figure
abacus,Unknown,Unknown
steelyard-case / abacus,Unknown,Unknown
acroterion,Unknown,Unknown
admission-ticket / souvenir,Unknown,Unknown
admission-ticket,Unknown,Unknown
souvenir / admission-ticket,Unknown,Unknown
Print,Fine Art,Print
decorated paper / advertisement,Unknown,Unknown
adze,Unknown,Unknown
tool/implement / adze,Unknown,Unknown
adze / axe,Unknown,Unknown
aeolipile,Unknown,Unknown
akor,Unknown,Unknown
albarello,Unknown,Unknown
Painting,Fine Art,Painting
Plant,Unknown,Unknown
Vessel,Decorative Arts,Vessel
Ceramic,Ceramics,Ceramic
Sculpture,Sculpture,Sculpture
Work on Paper,Unknown,Unknown
Installation,Unknown,Unknown
Textile,Textiles,Textile
Furnishing,Unknown,Unknown
collectionObject,Unknown,Unknown
Photograph,Photography,Photograph
Furniture,Unknown,Unknown
Screen,Unknown,Unknown
Signage,Unknown,Unknown
Media art,Media Art,Media Art
Fire/Heat,Unknown,Unknown
Relief,Sculpture,Relief
Carrier,Unknown,Unknown
Collage,Unknown,Unknown
Light,Unknown,Unknown
Drawing,Unknown,Unknown
Clothing,Unknown,Unknown
Book,Unknown,Unknown
Model,Unknown,Unknown
Container,Unknown,Unknown
Costume,Textiles,Costume
Architectural Element,Unknown,Unknown
"Recreation, Toys, Games",Unknown,Unknown
Tool,Unknown,Unknown
Tiles,Unknown,Unknown
Unknown,Unknown,Unknown
Bowl,Decorative Arts,Bowl
"Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes",Unknown,Unknown
Reliquary,Unknown,Unknown
Pipa,Unknown,Unknown
Handscroll,Fine Art,Scroll Painting
Longcase astronomical regulator,Unknown,Unknown
Cross,Unknown,Unknown
Stela,Unknown,Unknown
Bust,Sculpture,Bust
"Statue, Yuny, Renenutet, pair, menat, music",Unknown,Unknown
Cup,Unknown,Unknown
Hanging scroll,Fine Art,Scroll Painting
Plate,Decorative Arts,Plate
Standing shelf,Unknown,Unknown
Tabernacle polyptych,Unknown,Unknown
Clock watch,Unknown,Unknown
Thangka,Unknown,Unknown
Period room,Unknown,Unknown
