object_id,aligned_material
"1948,0716.30",Unknown
As.3593,Unknown
"As,SLMisc.594",Unknown
OA+.6644,Unknown
"2019,4106.1",Unknown
"As,SLMisc.552.b",Unknown
"2001,0618.1",Unknown
"1909,0611.1",Unknown
"1907,1105.2",Unknown
OA+.152,Unknown
"1938,0524.6",Unknown
MAS.1073,Unknown
OA+.151,Unknown
"2014,4004.11",Unknown
"2014,4004.12",Unknown
"2005,0414.1",Unknown
"2014,4004.10",Unknown
"2014,4004.9",Unknown
"2015,4055.1",Unknown
"2014,4034.8",Unknown
"2015,4094.1",Unknown
"2009,4182.4",Unknown
"2015,4094.2",Unknown
"1993,0813,0.1",Unknown
"1991,0219,0.11.1-3",Unknown
"1986,0319,0.44",Unknown
"As1906,1226.29",Unknown
"1979,1012.4",Unknown
"1979,1012.1",Unknown
"1979,1012.39",Unknown
"1979,1012.28",Unknown
"1979,1012.5",Unknown
"1979,1012.9",Unknown
"1979,1012.23",Unknown
"1979,1012.7",Unknown
"1979,1012.14",Unknown
"1979,1012.27",Unknown
"1959,0216.15",Unknown
As.7097,Unknown
OA+.3873,Unknown
"1979,1012.8",Unknown
OA+.3874,Unknown
As.7104,Unknown
OA+.3872,Unknown
OA+.3880,Unknown
As.7093,Unknown
OA+.3878,Unknown
"1979,1012.24",Unknown
"1979,1012.18",Unknown
"1979,1012.19",Unknown
"1979,1012.20",Unknown
"1959,0216.16",Unknown
"1979,1012.6",Unknown
"1979,1012.36",Unknown
"1979,1012.32",Unknown
"1979,1012.2",Unknown
"1950,0405.18",Unknown
"1979,1012.3",Unknown
"1979,1012.33",Unknown
"1979,1012.11",Unknown
"1979,1012.12",Unknown
"1979,1012.13",Unknown
"1979,1012.26",Unknown
"2018,6015.6",Unknown
"As1925,0615.1",Unknown
"1979,1012.10",Unknown
As.7098,Unknown
OA+.3875,Unknown
OA+.3881,Unknown
As.7094,Unknown
OA+.3879,Unknown
As.7095,Unknown
"1979,1012.21",Unknown
"1979,1012.15",Unknown
"1979,1012.34",Unknown
"1963,1014.6",Unknown
"1979,1012.22",Unknown
As.7099,Unknown
"1979,1012.16",Unknown
"1979,1012.35",Unknown
"1979,1012.29",Unknown
"1979,1012.17",Unknown
"1979,1012.30",Unknown
"1979,1012.43",Unknown
"1979,1012.37",Unknown
"1979,1012.31",Unknown
"1979,1012.25",Unknown
"1926,1204.24",Unknown
"1936,1007.2",Unknown
"1936,1007.5",Unknown
"1913,0721.7",Unknown
"1936,1007.3",Unknown
"1905,0518.75.a-b",Unknown
Franks.807,Unknown
"1962,1231,0.5.1-28",Unknown
"1869,0508,0.1",Unknown
"1948,0710,0.34.16",Unknown
"1934,0512,0.1.1-16",Unknown
"1986,0313,0.1.137",Unknown
"1986,0313,0.1.208",Unknown
5cc48dc5a511,
8831d3c5f3a9,
20858,Unknown
20886,Unknown
20866,Unknown
227129,Unknown
226957,Unknown
227529,Unknown
226910,Unknown
226110,Unknown
226109,Unknown
226111,Unknown
225895,Unknown
225876,Unknown
226553,Unknown
225893,Unknown
225904,Unknown
226669,Unknown
227531,Unknown
226696,Unknown
225896,Unknown
226384,Unknown
225867,Unknown
226061,Unknown
226064,Unknown
226063,Unknown
225881,Unknown
225892,Unknown
225495,Unknown
225769,Unknown
225658,Unknown
226382,Unknown
226383,Unknown
225656,Unknown
225877,Unknown
226551,Unknown
225861,Unknown
226575,Unknown
226920,Unknown
225894,Unknown
226695,Unknown
226206,Unknown
225768,Unknown
225929,Unknown
226487,Unknown
225513,Unknown
225429,Unknown
225000,Unknown
224943,Unknown
225738,Unknown
225139,Unknown
225001,Unknown
225296,Unknown
225515,Unknown
225427,Unknown
225518,Unknown
225759,Unknown
225294,Unknown
225758,Unknown
225910,Unknown
225767,Unknown
225761,Unknown
225760,Unknown
225764,Unknown
225762,Unknown
225765,Unknown
225763,Unknown
225766,Unknown
225497,Unknown
225860,Unknown
225292,Unknown
226701,Unknown
225287,Unknown
226599,Unknown
226511,Unknown
225871,Unknown
225425,Unknown
225728,Unknown
225521,Unknown
225537,Unknown
225514,Unknown
226907,Unknown
226912,Unknown
225650,Unknown
225013,Unknown
224999,Unknown
225773,Unknown
226922,Unknown
225771,Unknown
225887,Unknown
225039,Unknown
225038,Unknown
225071,Unknown
225049,Unknown
225046,Unknown
225053,Unknown
225048,Unknown
224941,Unknown
225488,Unknown
225646,Unknown
225050,Unknown
224897,Unknown
225770,Unknown
225434,Unknown
225041,Unknown
225030,Unknown
225032,Unknown
225519,Unknown
225878,Unknown
225035,Unknown
225967,Unknown
225034,Unknown
225754,Unknown
225753,Unknown
225804,Unknown
226911,Unknown
226913,Unknown
226956,Unknown
226914,Unknown
224946,Unknown
225470,Unknown
227519,Unknown
225879,Unknown
224995,Unknown
225866,Unknown
225282,Unknown
224802,Unknown
224876,Unknown
224940,Unknown
224801,Unknown
225027,Unknown
224805,Unknown
224873,Unknown
224869,Unknown
225052,Unknown
224875,Unknown
225047,Unknown
224930,Unknown
224894,Unknown
224877,Unknown
225733,Unknown
225755,Unknown
224878,Unknown
225859,Unknown
224994,Unknown
225752,Unknown
225880,Unknown
224881,Unknown
224939,Unknown
226550,Unknown
226058,Unknown
226649,Unknown
226647,Unknown
226646,Unknown
226642,Unknown
226643,Unknown
226645,Unknown
226648,Unknown
226644,Unknown
226670,Unknown
226915,Unknown
226917,Unknown
226916,Unknown
225776,Unknown
224735,Unknown
224858,Unknown
217135,Unknown
224724,Unknown
225155,Unknown
224874,Unknown
224796,Unknown
224712,Unknown
224896,Unknown
224859,Unknown
224734,Unknown
224730,Unknown
224879,Unknown
224871,Unknown
224464,Unknown
224867,Unknown
224794,Unknown
224452,Unknown
225037,Unknown
225129,Unknown
225128,Unknown
225487,Unknown
225743,Unknown
226385,Unknown
226486,Unknown
225029,Unknown
224795,Unknown
224857,Unknown
226187,Unknown
226951,Unknown
226950,Unknown
224321,Unknown
224799,Unknown
224425,Unknown
224304,Unknown
224671,Unknown
224550,Unknown
224733,Unknown
224500,Unknown
224275,Unknown
224322,Unknown
224868,Unknown
224554,Unknown
226115,Unknown
226166,Unknown
226136,Unknown
226170,Unknown
226168,Unknown
226184,Unknown
226155,Unknown
226131,Unknown
226165,Unknown
226137,Unknown
226124,Unknown
226125,Unknown
226133,Unknown
226148,Unknown
226162,Unknown
226157,Unknown
226120,Unknown
226177,Unknown
226176,Unknown
226146,Unknown
226145,Unknown
226156,Unknown
226173,Unknown
226172,Unknown
226163,Unknown
226135,Unknown
226179,Unknown
226144,Unknown
226149,Unknown
226116,Unknown
226113,Unknown
226129,Unknown
226139,Unknown
226153,Unknown
226171,Unknown
226119,Unknown
226167,Unknown
226161,Unknown
226147,Unknown
226183,Unknown
226121,Unknown
224767,Unknown
224725,Unknown
224728,Unknown
224327,Unknown
226151,Unknown
226182,Unknown
226140,Unknown
226117,Unknown
226141,Unknown
226152,Unknown
226132,Unknown
226186,Unknown
226114,Unknown
226169,Unknown
226118,Unknown
226123,Unknown
226185,Unknown
226160,Unknown
226181,Unknown
226142,Unknown
226122,Unknown
226158,Unknown
224552,Unknown
224453,Unknown
224719,Unknown
224299,Unknown
224612,Unknown
224289,Unknown
224670,Unknown
224738,Unknown
224872,Unknown
224713,Unknown
225036,Unknown
224276,Unknown
224323,Unknown
224263,Unknown
224732,Unknown
224311,Unknown
225741,Unknown
224553,Unknown
224267,Unknown
224061,Unknown
226056,Unknown
224167,Unknown
224165,Unknown
224160,Unknown
224164,Unknown
224166,Unknown
224442,Unknown
226788,Unknown
225154,Unknown
224454,Unknown
226949,Unknown
226918,Unknown
226919,Unknown
227515,Unknown
227534,Unknown
227535,Unknown
224273,Unknown
226697,Unknown
225885,Unknown
225884,Unknown
225868,Unknown
225886,Unknown
225883,Unknown
222655,Unknown
224435,Unknown
222612,Unknown
224433,Unknown
222683,Unknown
222658,Unknown
222585,Unknown
222627,Unknown
222592,Unknown
222619,Unknown
222635,Unknown
222638,Unknown
222552,Unknown
222593,Unknown
222653,Unknown
222609,Unknown
