object_id,aligned_period
"1948,0716.30",Qing dynasty (1644-1912)
As.3593,Unknown
"As,SLMisc.594",Unknown
OA+.6644,Qing dynasty (1644-1912)
"2019,4106.1",Unknown
"As,SLMisc.552.b",Unknown
"2001,0618.1",Qing dynasty (c. 1975)
"1909,0611.1",Ming dynasty (1368-1644)
"1907,1105.2",Ming dynasty (1368-1644)
OA+.152,Ming dynasty (1368-1644)
"1938,0524.6",Ming dynasty (1368-1644)
MAS.1073,8thC-10thC
OA+.151,Yuan dynasty (1271-1368)
"2014,4004.11",Qing dynasty (c. 1982)
"2014,4004.12",Qing dynasty (c. 1982)
"2005,0414.1",Qing dynasty (c. 2005)
"2014,4004.10",Qing dynasty (c. 1982)
"2014,4004.9",Qing dynasty (c. 1982)
"2015,4055.1",Qing dynasty (1644-1912)
"2014,4034.8",Qing dynasty (c. 1980)
"2015,4094.1",Qing dynasty (c. 1999)
"2009,4182.4",Qing dynasty (c. 1991)
"2015,4094.2",Qing dynasty (c. 1999)
"1993,0813,0.1",Qing dynasty (c. 1930)
"1991,0219,0.11.1-3",Qing dynasty (1644-1912)
"1986,0319,0.44",Unknown
"As1906,1226.29",Unknown
"1979,1012.4",Unknown
"1979,1012.1",Unknown
"1979,1012.39",Unknown
"1979,1012.28",Unknown
"1979,1012.5",Unknown
"1979,1012.9",Unknown
"1979,1012.23",Unknown
"1979,1012.7",Unknown
"1979,1012.14",Unknown
"1979,1012.27",Unknown
"1959,0216.15",Qing dynasty (c. 5000)
As.7097,Unknown
OA+.3873,Unknown
"1979,1012.8",Unknown
OA+.3874,Unknown
As.7104,Unknown
OA+.3872,Unknown
OA+.3880,Unknown
As.7093,Unknown
OA+.3878,Unknown
"1979,1012.24",Unknown
"1979,1012.18",Unknown
"1979,1012.19",Unknown
"1979,1012.20",Unknown
"1959,0216.16",Qing dynasty (c. 5000)
"1979,1012.6",Unknown
"1979,1012.36",Unknown
"1979,1012.32",Unknown
"1979,1012.2",Unknown
"1950,0405.18",1stC BC
"1979,1012.3",Unknown
"1979,1012.33",Unknown
"1979,1012.11",Unknown
"1979,1012.12",Unknown
"1979,1012.13",Unknown
"1979,1012.26",Unknown
"2018,6015.6",Qing dynasty (c. 2010)
"As1925,0615.1",Unknown
"1979,1012.10",Unknown
As.7098,Unknown
OA+.3875,Unknown
OA+.3881,Unknown
As.7094,Unknown
