object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_culture,_dynasty,_reign,_object_date,_department,_country,_region,_artist,_artist_bio,_artist_nationality,_image_small,_accession_year,_is_public_domain,_image_valid,is_duplicate
911874,Story of the Western Chamber,"Qing dynasty (1644–1911), Qianlong period (1736–95)",Print,HaHanging scroll; woodblock print; two shades of ink on paper with additional hand coloring,,"Image: 40 3/4 × 21 3/4 in. (103.5 × 55.2 cm)
Overall with mounting: 70 1/2 × 25 3/4 in. (179.1 × 65.4 cm)
Overall with knobs: 70 1/2 × 27 1/2 in. (179.1 × 69.9 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/911874,https://images.metmuseum.org/CRDImages/as/original/DP-40658-002.jpg,,"Purchase, C.C. Wang Family Fund Gift, 2025",2025.385,2026-05-27,Qing dynasty (1644-1912),Print,Ink on paper,China,0.9,China,,,,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP-40658-002.jpg,2025,True,True,False
61658,Bodhisattva Avalokiteshvara (Guanyin),Yuan dynasty (1271–1368),Figure,Wood (wiillow) with traces of pigment; single woodblock construction,,"a) Guanyin: 39 1/4 in. (99.7 cm)
b) Inscribed block: H. 6 1/2 in. (16.5 cm); W. 2 1/4 in. (5.7 cm); D. 1 in. (2.5 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/61658,https://images.metmuseum.org/CRDImages/as/original/DP223478.jpg,,"Purchase, Joseph Pulitzer Bequest, 1934","34.15.1a, b",2026-05-27,Yuan dynasty (1271-1368),Figure,Wood,China,0.9,China,,,dated 1282,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP223478.jpg,1934,True,True,False
448663,Bowl,,Bowl,Stonepaste; painted in blue and black under transparent glaze,,"H. 2 15/16 in. (7.5 cm)
Diam. 5 7/8 in. (14.9 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/448663,https://images.metmuseum.org/CRDImages/is/original/DP120820.jpg,,"Purchase,  V. Everit Macy Gift, 1932",32.33,2026-05-27,Unknown,Bowl,Stone,Unknown,0.8,,,,15th century,Islamic Art,Iran or Central Asia,,,,,https://images.metmuseum.org/CRDImages/is/web-large/DP120820.jpg,1932,True,True,False
764091,Our Lady of Valvanera,,Painting,Oil and gold on canvas,,80 1/16 × 95 7/8 in. (203.4 × 243.5 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/764091,https://images.metmuseum.org/CRDImages/ad/original/DP-17034-002.jpg,,"Gift of James Kung Wei Li, in memory of Ambassador and Mme Ti-Tsun Li, Republic of China, 2018",2018.652.3,2026-05-27,Unknown,Painting,Gold,Peru (Cuzco),0.8,Peru (Cuzco),,,ca. 1770–80,The American Wing,,,Unknown,,,https://images.metmuseum.org/CRDImages/ad/web-large/DP-17034-002.jpg,2018,True,True,False
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",Early Ptolemaic Period,"Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes","Papyrus, ink",,Approximate measurements (framed): L. 21.9 m (71 ft. 10 3/16 in); H. 35 cm (1 ft. 1 3/4 in.). Length previously estimated at 63 ft. (19.2 m).,The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/551786,https://images.metmuseum.org/CRDImages/eg/original/2-35.9.20a–w_EGDP014589-4594.jpg,,"Gift of  Edward S. Harkness, 1935",35.9.20a–w,2026-05-27,Early Ptolemaic Period,"Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes","Papyrus, ink",Unknown,0.9,,,,ca. 332–200 B.C.,Egyptian Art,,Middle Egypt,,,,https://images.metmuseum.org/CRDImages/eg/web-large/2-35.9.20a–w_EGDP014589-4594.jpg,1935,True,True,False
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",,Print,Type-metal engraving and letterpress,,Sheet: 15 3/4 × 11 13/16 in. (40 × 30 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/729644,https://images.metmuseum.org/CRDImages/dp/original/DP865112.jpg,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",46.46.311,2026-05-27,Unknown,Print,Type-metal engraving and letterpress,Unknown,0.8,,,,ca. 1890–96,Drawings and Prints,,,José Guadalupe Posada,"Mexican, Aguascalientes 1852–1913 Mexico City",Mexican,https://images.metmuseum.org/CRDImages/dp/web-large/DP865112.jpg,1946,True,True,False
472562,The Fieschi Morgan Staurotheke,,Reliquary,"Gilded silver, gold, enamel worked in cloisonné, and niello",,"Overall (with lid): 1 1/16 x 4 1/16 x 2 13/16 in. (2.7 x 10.3 x 7.1 cm)
lid only: 2 13/16 x 3 7/8 x 1/8 in. (7.1 x 9.8 x 0.3 cm)
vessel only: 7/8 x 2 15/16 x 4 in. (2.2 x 7.5 x 10.1 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/472562,https://images.metmuseum.org/CRDImages/md/original/DT119.jpg,,"Gift of J. Pierpont Morgan, 1917","17.190.715a, b",2026-05-27,Unknown,Reliquary,Silver,Byzantine,0.8,Byzantine,,,early 9th century,Medieval Art,,,,,,https://images.metmuseum.org/CRDImages/md/web-large/DT119.jpg,1917,True,True,False
900001,Chinese Memory,,Time-Based Media; Video; Installation; Sculpture,"Single-channel video, color, silent, 21 min., 12 sec.; vintage television cabinet with permanent oil marker, glass, acrylic, record cover, scroll, antennae, and books",,2024.302a-p: 81 × 55 × 44 in. (205.7 × 139.7 × 111.8 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/900001,,,"Purchase, Charles M. Kim and Jean Su Maeng Kim, and Lila Acheson Wallace Gifts, 2024",2024.302a–p,2026-05-27,Unknown,Sculpture,Glass,American,0.6000000000000001,,,,2005,Modern and Contemporary Art,,,Nam June Paik,"American (born Korea), Seoul 1932–2006 Miami, Florida","American, born Korea",,2024,False,False,False
503651,Pipa (琵琶 ),Ming dynasty (1368-1644),Pipa,"Wood, ivory, bone, silk",,"L. 37 × W. 9 15/16 × D. 1 1/8 in. (94 × 25.3 × 2.9 cm)
see measurements drawing",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/503651,https://images.metmuseum.org/CRDImages/mi/original/DP319739.jpg,,"Bequest of Mary Stillman Harkness, 1950",50.145.74,2026-05-27,Ming dynasty (1368-1644),Pipa,Ivory,Chinese,0.9,Chinese,,,late 16th–early 17th century,Musical Instruments,China,,,,,https://images.metmuseum.org/CRDImages/mi/web-large/DP319739.jpg,1950,True,True,False
42188,Seated luohan (arhat) in a grotto,Qing dynasty (1644–1911),Figure,Jade (nephrite),,H. 7 11/16 in. (19.5 cm); W. 6 3/4 in. (17.2 cm); D. 2 11/16 in. (6.8 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/42188,https://images.metmuseum.org/CRDImages/as/original/DP-14153-052.jpg,,"Gift of Heber R. Bishop, 1902",02.18.640,2026-05-27,Qing dynasty (1644-1912),Figure,Nephrite,China,0.9,China,,,18th century,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP-14153-052.jpg,1902,True,True,False
