object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_displayculture,_displaydate,_displayperiod,_objectnumber,_medium_detail,_image_valid,image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en
137808,荷兰隧道,,,木刻,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137808,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2021_65288,,,2020-356,2026-05-27,未知,未知,木头,未知,0.55,,,,2020-356,Woodcut,,False,False,Holland Tunnel,,,Woodcut,,Unknown,,Unknown,Unknown,Wood
136877,红色人物pyxis与研讨会,约公元前500-490年,,陶瓷,希腊语，阁楼,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/136877,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2060517,,,2019-262 a-b,2026-05-27,约公元前490年,未知,陶瓷,希腊语，阁楼,0.75,"Greek, Attic",ca. 500–490 BCE,,2019-262 a-b,Ceramic,,False,False,Red-figure pyxis with a symposium,ca. 500–490 BCE,,Ceramic,"Greek, Attic","Greek, Attic",,c. 490 BCE,Unknown,Ceramic
135914,约塞米蒂山谷Colfax Point,约1863年,,蛋白印相,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135914,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2019-88-1,,,2019-269,2026-05-27,约1863年,未知,相册,未知,0.65,,ca. 1863,,2019-269,Albumen print,,False,False,"Colfax Point, Yosemite Valley",ca. 1863,,Albumen print,,Unknown,,ca. 1863,Unknown,Albumen
135810,Effigy船,约1890年,,陶瓷与黑色和白色滑,科奇蒂人,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135810,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62833,,,2019-217,2026-05-27,约1890年,未知,陶瓷,科奇蒂人,0.75,Cochiti,ca. 1890,,2019-217,Ceramic with black and white slip,,False,False,Effigy vessel,ca. 1890,,Ceramic with black and white slip,Cochiti,Cochiti,,ca. 1890,Unknown,Ceramic
135666,包装材料（adinkra）,20世纪中期,,棉花、丝绸和染料,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135666,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2022_1878,,,2019-125,2026-05-27,20世纪中期,未知,棉花,未知,0.65,,mid-20th century,,2019-125,"Cotton, silk, and dye",,False,False,Wrapper (adinkra),mid-20th century,,"Cotton, silk, and dye",,Unknown,,mid-20th century,Unknown,Cotton
135622,乡村医生,1948年，约1955年印刷,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135622,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2062296,,,2019-260,2026-05-27,1948年，约1955年印刷,未知,明胶银,未知,0.65,,"1948, printed ca. 1955",,2019-260,Gelatin silver print,,False,False,Country Doctor,"1948, printed ca. 1955",,Gelatin silver print,,Unknown,,"1948, printed ca. 1955",Unknown,Gelatin silver
135613,南非金矿商，金伯利矿业公司，约翰内斯堡,1950,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135613,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2022_1783,,,2019-133,2026-05-27,1950,未知,明胶银,未知,0.65,,1950,,2019-133,Gelatin silver print,,False,False,"South African Gold Miners, Kimberley Mines, Johannesburg",1950,,Gelatin silver print,,Unknown,,1950,Unknown,Gelatin silver
135354,凤凰头小母羊,宋朝，960年-1279年,,青白青白 ware;浅绿蓝釉瓷器,中文,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135354,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2018-1954840,,,2019-97,2026-05-27,宋朝（960-1279）,未知,青白青白 ware;浅绿蓝釉瓷器,中文,0.75,Chinese,,"Song dynasty, 960–1279",2019-97,Qingbai 青白 ware; porcelaneous ware with light green-blue glaze,,False,False,Small ewer with phoenix head,"Song dynasty, 960–1279",,Qingbai 青白 ware; porcelaneous ware with light green-blue glaze,Chinese,Chinese,,Song dynasty (960-1279),Unknown,Qingbai 青白 ware; porcelaneous ware with light green-blue glaze
135206,围裙（ubheshwana或isige）,1960s,,玻璃珠、棉花、种子、绳子和钓鱼线,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135206,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62580,,,2019-11,2026-05-27,1960s,未知,棉花,未知,0.65,,1960s,,2019-11,"Glass beads, cotton, seeds, string, and fishing wire",,False,False,Apron (ubheshwana or isigege),1960s,,"Glass beads, cotton, seeds, string, and fishing wire",,Unknown,,1960s,Unknown,Cotton
134589,Quées para Ud。la Poesía？（诗对你来说是什么？）,1980,,16mm胶片，转换为数字视频,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/134589,https://media.artmuseum.princeton.edu/iiif/3/collection/cv_film,,,2019-20,2026-05-27,1980,未知,16mm胶片，转换为数字视频,未知,0.65,,1980,,2019-20,"16mm film, converted to digital video",,False,False,¿Qué es para Ud. la Poesía? (What is Poetry to You?),1980,,"16mm film, converted to digital video",,Unknown,,1980,Unknown,"16mm film, converted to digital video"
