object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date
15742,Deity from a Set of Five Pancharaksha Goddesses,"Qing dynasty (1644–1911), 19th century",Sculpture,"Gilt copper alloy with lapis, coral and malachite",,11 × 11 × 6.7 cm (4 3/8 × 4 3/8 × 2 5/8 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/15742,https://www.artic.edu/iiif/2/6ff57311-952a-e307-d5e3-5900c535912c/full/full/0/default.jpg,,Gift of Guy H. Mitchell,1925.385,2026-05-10
7896,Dinner Plate,1796–1810,Ceramics,"Hard-paste porcelain, glaze, with enamels in colors, and gilding","This plate was part of a large service made for the 1796 wedding of New York politician DeWitt Clinton (1769–1828) and his bride, Maria Franklin (1775–1818). The decorative Chinese landscape is encircled by a spearhead border and depictions of the eight Chinese Immortals of the Taoist religion, a purely Chinese decoration. Only the entwined gold initials DWMC indicate that this plate was made for a foreign market.",Diam.: 22.3 cm (8 3/4 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/7896,https://www.artic.edu/iiif/2/7597e412-18c9-0e33-0202-79f808cd43c3/full/full/0/default.jpg,,Bequest of Frederick S. Colburn,1958.258,2026-05-10
2716,Cup,1750–70,Ceramics,"Hard-paste porcelain, enamels, gilding",,6.5 × 8.3 × 6 cm (2 9/16 × 3 1/4 × 2 3/8 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/2716,https://www.artic.edu/iiif/2/8d8023a2-ff20-e51e-e701-d43af6a919f8/full/full/0/default.jpg,,Gift of The Winfield Foundation,1956.304,2026-05-10
3585,Tureen with Cover,c. 1787–90,Ceramics,"Hard-paste porcelain, glaze, with enamels in colors, and gilding","This tureen is from a service owned by Elias Morgan (1770–1812) of Connecticut. The Morgan set, displaying the coat of arms originally used by his Welsh ancestors, is one of the few armorial services made for the American market.",11.4 × 19.7 × 11.4 cm (4 1/2 × 7 3/4 × 4 1/2 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/3585,https://www.artic.edu/iiif/2/b7f08c63-3e3d-ef37-169a-2eff1e3793c2/full/full/0/default.jpg,,Anonymous gift in memory of Chauncey McCormick,1956.775a-b,2026-05-10
22068,Fragment (Sleeve Band),"Qing dynasty (1644–1911), 1875–1900",Textile,Embroidered on gauze,,26.2 × 32.5 cm (10 1/4 × 12 3/4 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/22068,https://www.artic.edu/iiif/2/c6a73b01-f85c-7102-b82c-a2ee344b1a2d/full/full/0/default.jpg,,Bequest of Russell Tyson,1964.1011a-b,2026-05-10
6775,Woman's Qun (Semiformal Domestic Skirt),"Qing dynasty (1644–1911), 1870/90",Costume and Accessories,"Silk, warp-float faced 7:1 satin weave; embroidered with silk and gold-leaf-over-lacquered-paper-strip-wrapped cotton in knot, single satin, satin, split, and stem stitches; laid work and couching; ribbons: silk, plain weave with supplementary patterning warps; trimmed with silk, warp-float faced 4:1 satin weave; waistband: cotton, plain weave; lined with silk, plain weave",,97.7 × 101.5 cm (38 1/2 × 40 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/6775,https://www.artic.edu/iiif/2/e9197c64-3b60-1182-6f51-a35e1d8eb12c/full/full/0/default.jpg,,Gift of Mrs. Chauncey McCormick,1957.546,2026-05-10
3588,Tureen with Cover,c. 1787–90,Ceramics,"Hard-paste porcelain, glaze, with enamels in colors, and gilding","This tureen is from a service owned by Elias Morgan (1770–1812) of Connecticut. The Morgan set, displaying the coat of arms originally used by his Welsh ancestors, is one of the few armorial services made for the American market.",11.4 × 19.7 × 11.4 cm (4 1/2 × 7 3/4 × 4 1/2 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/3588,https://www.artic.edu/iiif/2/2b0f799f-c5ca-a7d9-f52e-772a9b20989e/full/full/0/default.jpg,,Anonymous gift in memory of Chauncey McCormick,1956.776a-b,2026-05-10
7782,Tea Bowl and Dish,c. 1784–95,Ceramics,"Hard-paste porcelain, glaze, with enamels in colors, and gilding","This tea bowl and dish, decorated with an American sailing vessel and the initials <em>CWJER</em> (or <em>CW &amp; ER</em>), are among the many examples of souvenir ware that captains and trade merchants special ordered from the porcelain shops in Canton to commemorate their journeys. The decoration on these pieces is of a more personal character than the average stock porcelain. Motifs for commemorative ware were most often copied from illustrations on mercantile and cargo documentation and thus probably bore little resemblance to the actual vessels.",Cup: 4.5 × 8.6 cm (1 3/4 × 3 3/8 in.); Saucer: 3 × 14.1 cm (1 3/16 × 5 9/16 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/7782,https://www.artic.edu/iiif/2/4036b978-7bdf-b611-b976-6d95d5ca5ae5/full/full/0/default.jpg,,Bequest of Frederick S. Colburn,1958.222a-b,2026-05-10
14280,Sleeve Band,"Qing dynasty (1644–1911), 1875/1900",Textile,embroidered in silks on gauze in design of flowers and plants in jardinieres,,63.7 × 17.4 cm (25 1/8 × 6 7/8 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/14280,https://www.artic.edu/iiif/2/31aad08c-ad1f-25a7-2035-af77248c13eb/full/full/0/default.jpg,,Gift of Marion Marks Rubens,1962.308,2026-05-10
150152,"Boy's Baijia Pao (""One Hundred Household"" Robe)","Qing dynasty (1644–1911), 1850/1900",Textile,"Silk, warp-float faced 3:1 'Z' twill weaves self-patterned by areas of plain weave; pieced; medallions with under drawing in black pigment and trimmed with cords of gold-leaf-over-lacquered-paper-strip-wrapped silk couched with silk; neck facing: silk, warp-float faced 7:1 satin weave; embroidered in satin, single satin, and stem stitches; trimmed with braid of silk, 2:2 oblique interlacing and with ribbon of silk and cotton, warp-float faced 7:1 satin weave with supplementary patterning warps and self-patterned by main warp floats; ties: silk, warp-float faced 3:1 'Z' twill weave self-patterned by areas of plain weave; lined with silk, plain weave",,65 × 114.6 cm (25 5/8 × 45 1/8 in.),Art Institute of Chicago,"Chicago, USA",https://www.artic.edu/artworks/150152,https://www.artic.edu/iiif/2/c5ffeccb-59c7-0358-47e0-e5a636af1df9/full/full/0/default.jpg,,Robert Allerton Endowment,1998.321,2026-05-10
